knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_rating,knowledge_quality
1,52,0,92,2
1,75,0,4,1
0,66,1,45,3
1,65,0,60,1
1,69,0,61,2
0,43,0,46,3
0,40,1,32,3
1,29,0,57,1
1,58,1,33,3
1,38,1,29,2
1,13,1,71,3
1,86,0,81,2
1,41,0,43,3
1,61,1,31,2
1,47,1,18,1
0,38,0,53,1
0,49,1,16,3
0,66,0,82,1
0,81,0,74,2
0,40,1,50,2
1,59,1,10,3
1,43,0,35,2
0,28,0,20,3
1,91,0,32,3
1,13,1,41,3
1,17,1,91,2
0,53,1,55,2
0,4,1,8,3
0,36,0,88,3
0,68,0,25,3
0,16,0,80,2
0,62,1,50,3
0,92,0,58,1
0,32,0,74,3
0,10,1,51,3
0,46,1,86,1
1,44,1,68,1
0,81,1,52,1
0,72,0,57,3
1,75,1,88,2
1,80,0,60,3
1,13,1,57,2
0,76,0,84,2
1,9,0,1,1
1,60,1,70,2
0,14,1,58,1
1,17,0,77,3
1,43,1,89,2
0,99,1,87,1
1,92,1,67,2
0,4,0,81,3
0,23,0,29,2
0,9,0,80,1
0,68,0,48,3
1,47,0,3,1
0,99,1,54,2
0,29,0,45,1
0,90,0,47,1
1,82,0,39,2
0,62,1,25,1
0,19,0,99,3
0,39,1,82,1
1,48,0,0,1
0,55,1,67,1
0,78,1,23,3
1,18,0,29,1
1,57,0,37,1
0,93,0,27,2
1,80,0,12,1
0,23,1,75,3
1,94,0,47,3
0,5,0,42,2
1,12,0,90,1
0,47,1,9,2
1,82,0,36,2
0,26,0,50,3
0,25,1,48,1
1,79,0,77,2
1,92,1,84,1
0,22,1,56,3
1,87,1,97,2
0,47,0,58,3
1,6,0,67,2
0,31,1,68,3
1,53,0,69,2
0,68,0,41,1
0,9,0,18,3
0,73,0,48,2
0,45,0,17,2
1,90,0,34,1
1,22,1,25,3
0,11,0,50,2
0,85,0,57,2
1,9,0,47,1
0,97,1,1,1
0,53,0,3,1
0,34,1,71,1
0,4,1,55,1
0,49,1,6,3
0,49,1,15,2
1,38,0,70,3
0,55,1,13,1
1,98,1,37,1
0,35,0,12,2
0,4,0,17,2
0,3,1,6,3
0,9,0,62,2
1,75,1,52,3
0,69,1,69,1
0,85,0,73,3
1,99,0,38,1
1,33,1,18,1
0,18,1,80,3
1,1,0,72,3
0,21,0,60,3
0,66,0,45,2
1,22,0,48,3
0,20,1,61,2
1,11,0,13,3
0,68,0,52,1
0,66,0,62,2
1,93,1,80,1
1,10,1,29,3
0,65,0,1,2
1,73,1,57,2
1,35,1,53,3
0,100,0,20,1
1,29,1,9,3
1,47,1,54,1
0,77,1,34,1
0,33,0,64,2
1,36,1,51,3
1,94,1,10,2
0,20,1,62,2
0,95,0,70,2
1,25,0,51,1
0,60,0,14,1
1,8,0,11,3
0,90,0,58,2
0,98,0,41,1
1,48,0,90,3
0,80,0,74,1
1,82,0,9,3
1,93,1,16,3
1,8,1,65,1
0,96,0,2,2
0,18,0,56,2
0,32,0,58,1
1,28,0,39,1
1,27,1,47,2
0,78,0,8,1
0,64,0,49,3
1,92,0,68,3
0,86,1,92,3
0,49,1,88,1
1,48,1,86,3
0,10,0,5,1
1,99,1,65,1
1,23,1,67,3
0,51,1,60,2
0,63,1,15,2
0,42,1,53,1
1,12,1,24,3
0,14,0,36,2
1,26,1,3,1
1,35,1,48,3
1,50,1,1,3
