knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_quality
0,68,11,1
2,1,53,2
2,31,11,1
1,45,15,2
0,76,13,1
0,55,61,1
3,3,69,2
1,22,94,1
0,24,5,2
3,25,8,1
2,71,42,1
1,33,44,1
2,22,24,1
1,20,11,1
2,4,33,2
1,60,49,1
0,49,57,1
3,12,35,2
0,26,18,2
0,45,59,1
3,61,87,2
2,31,80,2
3,27,43,2
3,45,69,2
1,44,40,2
0,18,65,1
2,62,13,1
3,45,62,1
3,3,74,1
1,41,54,1
1,29,95,2
2,17,19,2
1,80,45,2
2,48,85,1
0,80,30,1
2,17,2,2
0,40,77,1
3,11,95,2
0,32,47,2
1,64,4,1
1,54,94,2
0,77,68,2
1,80,20,1
0,68,83,2
1,19,41,1
2,12,3,1
0,28,58,2
0,50,57,1
0,20,46,2
2,10,64,2
3,43,73,2
2,14,24,1
0,48,97,2
0,70,25,2
1,22,49,2
2,23,92,1
1,68,79,2
0,26,18,2
3,31,72,2
3,17,60,1
1,9,5,1
2,27,33,1
2,54,73,2
1,20,30,2
3,11,86,2
3,50,22,1
3,65,14,2
0,24,9,2
0,64,66,2
3,74,90,1
1,66,64,1
3,66,41,2
1,70,12,1
2,68,91,1
1,73,66,2
3,28,81,1
3,28,90,1
0,44,97,1
1,73,47,2
0,52,56,1
1,67,91,1
1,9,89,1
3,69,43,1
3,8,83,2
3,76,90,1
2,72,34,1
3,66,13,2
1,43,40,1
3,55,100,1
3,5,52,2
3,46,61,2
3,4,22,2
0,19,32,1
0,65,33,1
3,12,89,1
3,14,86,1
0,10,4,2
0,27,66,2
1,79,84,2
3,54,78,1
2,73,25,2
0,61,71,2
0,28,15,2
0,59,22,2
2,75,25,2
0,35,97,1
1,16,1,1
1,13,98,2
2,71,77,2
1,20,64,1
0,72,88,2
3,28,32,1
0,11,33,2
2,41,47,2
1,13,57,2
1,8,72,2
0,67,20,2
2,57,6,2
3,45,64,2
3,52,60,1
0,55,100,1
1,43,79,1
3,32,65,2
1,69,9,1
3,1,47,2
3,56,27,2
3,72,51,2
1,51,54,2
0,73,98,1
2,56,2,1
0,30,81,2
1,35,19,1
2,11,82,2
2,11,2,2
1,46,66,1
2,79,20,2
1,63,97,2
3,20,24,1
2,49,32,1
2,41,10,2
0,41,9,1
3,54,8,1
2,64,99,2
3,26,48,2
0,74,10,1
0,76,6,1
2,75,1,2
3,46,63,1
0,67,100,1
3,72,92,2
3,69,56,2
3,61,53,2
3,31,53,1
1,13,69,1
1,72,7,1
2,5,59,2
2,40,60,1
3,21,30,1
3,42,29,1
2,25,30,1
3,51,75,2
2,72,19,2
2,53,81,2
1,80,94,1
0,21,80,2
0,39,74,2
1,55,89,2
1,64,1,2
1,61,77,2
2,14,97,1
3,24,77,2
3,2,36,2
1,26,86,2
3,11,59,1
0,65,88,1
2,58,59,2
3,11,59,2
2,48,13,2
0,24,99,1
0,51,26,2
1,22,15,1
0,14,34,2
0,51,1,2
2,56,9,1
3,78,43,2
0,74,34,2
2,30,32,1
0,4,81,1
2,42,8,1
2,51,26,2
0,30,15,2
1,58,50,2
3,19,50,1
2,3,11,1
2,30,14,2
1,34,35,1
3,64,51,1
0,78,77,2
2,48,86,2
2,55,81,1
2,49,29,1
0,38,6,2
0,31,63,2
3,31,31,2
3,54,1,2
2,19,20,1
1,33,94,1
3,65,36,1
3,32,79,1
2,21,27,1
0,21,40,2
0,6,13,2
3,48,85,1
1,27,78,1
0,49,100,1
2,56,37,1
1,75,83,2
2,46,90,1
2,45,31,1
3,18,10,2
2,24,16,2
0,39,17,1
1,5,53,2
3,74,27,2
1,57,81,2
2,52,42,1
3,32,60,1
1,63,84,2
3,60,78,2
0,67,46,2
1,19,68,2
1,5,25,2
1,9,66,1
0,9,48,2
1,37,23,1
0,13,71,1
3,27,10,2
3,73,85,2
0,9,69,2
1,12,3,1
2,38,27,2
1,37,100,2
1,72,3,1
2,22,5,2
0,26,96,2
0,2,5,1
3,31,75,1
3,35,96,1
2,10,33,1
3,5,19,1
1,16,57,2
0,17,68,2
3,42,98,2
3,50,5,1
3,36,91,1
0,65,44,2
3,2,57,1
2,56,8,1
3,48,79,2
2,34,28,2
3,16,3,1
1,28,34,2
0,40,58,2
2,21,12,2
0,55,41,1
1,38,54,2
1,69,4,1
3,29,91,2
2,58,93,2
2,60,78,1
3,19,77,2
0,43,76,1
2,74,40,2
2,65,72,2
1,54,76,2
2,63,68,1
1,27,52,1
2,79,95,2
1,11,42,2
2,19,81,2
0,78,39,2
3,77,41,1
3,25,89,1
2,70,38,1
1,62,92,2
1,58,58,2
0,77,45,2
2,25,15,2
0,72,42,2
2,28,36,2
0,17,66,2
1,80,4,1
0,41,94,2
0,73,84,2
2,9,78,1
3,29,49,2
1,6,52,1
3,72,60,2
3,21,4,2
1,69,40,2
2,77,50,1
2,9,24,2
1,10,54,1
0,50,80,2
0,67,36,2
3,3,53,1
0,48,33,1
2,78,1,1
2,19,85,1
2,19,45,1
2,55,49,2
0,22,88,1
2,4,70,2
3,72,63,1
0,6,36,2
1,63,63,1
2,26,20,2
0,72,73,2
3,33,74,1
2,16,24,2
1,45,49,1
0,64,58,2
3,38,72,1
2,30,17,1
0,38,94,2
0,67,24,1
0,26,22,2
0,50,90,2
2,31,60,2
2,41,35,1
0,3,38,2
2,6,75,2
2,31,92,1
0,27,46,1
3,45,50,1
0,29,32,1
0,21,23,1
0,74,2,1
2,13,54,2
0,12,53,1
0,31,68,1
3,54,14,1
1,37,80,1
2,79,51,1
0,33,61,1
0,19,85,1
0,11,54,2
3,72,32,1
2,49,8,1
3,78,12,2
2,24,32,1
0,60,67,2
2,68,47,1
3,73,82,1
0,8,11,1
2,31,67,2
0,21,4,1
0,47,13,1
2,63,96,2
3,41,58,1
2,55,73,1
3,51,31,2
1,48,75,1
1,46,85,1
3,29,32,2
3,52,64,1
3,16,75,1
1,27,49,2
