knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_quality
0,8,17,2
0,30,11,0
3,12,30,1
1,40,16,1
2,12,4,0
3,9,9,1
3,39,13,2
2,18,22,1
2,14,15,1
2,32,32,0
2,2,5,0
3,24,40,2
2,25,6,0
2,37,33,0
2,5,19,1
2,20,34,1
0,35,1,1
0,31,0,2
2,30,17,0
2,0,7,2
1,5,33,1
1,36,7,1
3,35,29,0
1,35,12,2
3,28,30,2
2,29,7,2
0,3,12,2
3,17,39,1
1,17,37,1
0,31,12,1
2,38,35,0
3,32,15,2
3,29,11,1
0,32,22,2
0,21,22,1
2,28,21,0
3,15,31,1
1,6,21,0
0,39,10,0
0,26,17,1
2,5,24,1
0,2,24,1
2,13,18,0
0,6,0,2
1,40,7,0
0,14,7,1
2,27,20,2
1,28,34,2
2,18,8,0
0,39,31,0
1,25,7,2
0,9,6,2
0,35,28,1
0,6,39,0
3,8,35,2
2,7,25,0
2,21,2,1
2,29,13,0
3,14,19,0
1,19,27,1
1,13,23,0
0,28,6,2
3,21,31,0
2,22,33,2
1,16,40,0
1,4,1,1
2,28,17,1
0,6,37,2
0,35,29,2
1,37,37,0
1,14,32,1
3,32,35,1
2,35,30,0
0,8,6,1
3,30,28,2
2,2,6,2
0,26,19,1
1,6,8,0
3,20,25,1
0,16,27,1
1,9,35,0
2,4,36,0
2,5,26,1
2,6,34,2
3,39,37,0
2,29,7,1
0,13,31,0
2,31,12,2
1,21,3,1
0,25,14,0
2,16,23,2
2,32,0,0
3,32,31,2
2,26,10,2
1,19,1,1
1,23,20,0
3,32,18,1
1,19,25,0
3,25,2,2
3,37,6,1
1,32,20,0
3,25,35,2
2,3,24,2
0,23,34,2
2,30,31,0
1,3,26,0
1,11,2,2
1,22,18,2
2,1,5,0
2,22,24,2
2,23,5,0
1,40,22,0
1,9,30,1
1,9,40,0
2,27,15,2
3,10,5,1
1,27,16,2
3,12,18,2
3,20,31,2
3,32,13,2
2,12,1,0
1,21,7,2
2,3,24,0
3,18,27,1
0,6,39,1
0,29,10,0
2,19,21,0
3,11,32,1
3,28,4,0
3,25,31,1
3,35,17,0
2,20,14,1
0,16,8,0
2,18,23,1
0,28,20,2
0,18,34,0
2,23,1,1
0,22,12,0
1,14,8,1
3,28,5,1
3,30,4,2
1,12,16,1
1,25,2,2
1,19,9,1
1,19,31,2
3,20,20,2
3,17,10,0
1,19,39,2
2,34,2,2
3,20,32,0
2,3,11,2
3,29,27,1
1,11,2,2
0,19,33,1
3,35,18,2
2,6,34,0
1,0,36,0
0,36,11,0
1,27,27,1
2,0,7,0
3,26,2,0
1,13,26,1
3,37,7,1
3,1,29,1
1,20,34,1
0,17,2,1
0,27,29,1
0,25,23,2
2,30,9,1
2,12,5,0
1,29,22,2
3,25,28,0
1,8,37,2
3,12,7,1
1,3,22,1
1,21,17,1
1,30,16,1
3,39,21,1
1,39,8,0
3,20,28,1
2,5,34,1
2,15,40,2
0,17,29,0
1,39,2,1
2,31,39,2
1,28,20,0
1,36,5,0
1,37,0,0
3,26,34,2
2,4,10,1
3,16,35,2
3,16,3,0
2,19,3,1
3,24,5,2
3,28,17,1
1,19,34,0
1,14,18,2
3,10,15,0
2,23,33,2
3,3,18,1
2,4,21,1
2,7,39,0
3,18,17,2
1,37,20,2
1,4,10,0
2,1,6,2
3,27,34,2
3,4,27,0
3,5,18,0
1,39,14,2
3,21,18,1
0,15,7,0
3,8,27,0
0,22,8,2
2,20,35,1
3,3,2,1
3,2,24,2
3,35,31,2
1,34,38,1
0,28,9,2
1,31,19,0
3,12,25,1
0,35,7,0
2,7,20,1
3,21,28,0
3,8,24,0
2,25,33,1
3,36,1,2
0,13,26,2
1,15,26,2
3,21,19,2
0,3,39,2
1,29,28,0
3,18,36,0
2,4,32,0
3,14,37,2
0,3,13,1
1,32,16,1
2,1,22,2
3,33,17,0
2,16,16,2
3,33,18,2
0,27,20,2
2,23,3,0
2,26,11,2
3,0,8,2
3,17,11,1
2,5,29,2
3,10,25,1
2,38,19,2
1,25,4,2
2,8,1,0
1,19,4,2
1,4,17,0
3,21,16,1
1,8,6,2
0,24,34,0
1,39,28,1
3,13,7,0
3,26,5,0
1,1,38,1
1,32,24,2
3,5,26,1
1,16,4,2
3,0,24,1
2,37,27,0
2,34,14,2
1,31,36,0
2,12,36,2
3,2,21,1
2,16,9,1
2,15,7,0
0,21,30,0
1,14,16,2
1,6,37,2
3,26,24,0
0,18,23,2
1,19,23,1
0,6,32,1
2,30,5,2
2,22,20,1
3,16,18,1
2,12,29,2
0,25,27,2
3,14,29,2
0,8,35,2
0,40,12,2
2,7,34,2
1,17,22,2
1,10,38,2
3,17,11,1
2,33,8,0
0,37,27,0
2,0,9,0
0,10,13,2
2,26,7,2
3,18,12,0
0,31,21,2
2,33,30,0
1,31,16,2
0,40,23,2
2,22,28,1
1,26,15,0
1,11,39,1
3,20,0,2
0,11,5,0
2,3,39,0
3,39,3,2
0,22,12,0
2,38,5,2
1,26,38,1
1,24,16,0
2,28,28,2
0,17,27,0
3,16,12,1
1,4,33,0
3,3,27,2
3,34,3,1
0,22,33,2
0,28,20,2
3,10,17,1
2,15,1,2
3,21,2,1
0,11,12,2
0,28,6,0
2,12,27,2
1,24,8,2
1,4,24,1
2,31,3,2
2,37,36,0
1,4,9,2
2,2,21,0
2,1,35,0
1,28,39,2
2,15,25,2
3,25,26,1
3,34,19,1
1,29,18,2
2,0,1,0
0,29,33,1
1,37,16,2
