knowledge_approval,knowledge_reliability,knowledge_accuracy,knowledge_quality
0,7,34,0
1,13,27,0
0,34,40,0
1,21,7,2
0,32,5,0
0,32,28,2
0,36,23,2
0,28,1,0
0,3,19,2
0,30,0,0
1,35,28,0
0,27,9,1
0,23,24,2
1,9,4,1
1,40,24,1
1,31,24,2
1,14,39,0
1,13,7,1
0,39,22,2
0,13,30,0
0,10,33,2
1,3,5,0
0,40,15,0
1,22,39,2
1,5,40,1
1,9,0,0
1,40,8,2
1,24,25,2
1,28,40,1
1,1,2,1
1,27,17,0
1,17,24,2
1,8,10,2
0,25,31,1
1,0,34,0
1,14,15,1
0,5,32,2
0,24,15,0
1,16,11,2
0,37,13,0
1,12,4,1
1,27,1,2
0,19,16,2
0,36,23,1
0,19,23,2
0,2,37,2
1,6,18,2
0,26,12,2
0,37,11,2
1,19,1,1
0,4,15,2
1,11,12,1
1,6,35,2
1,31,11,0
1,13,32,1
1,8,12,2
0,31,13,2
0,37,8,1
0,9,12,2
1,7,39,0
0,35,6,1
0,20,9,1
1,0,15,2
0,21,34,1
0,36,38,1
0,15,0,1
0,13,8,0
1,33,10,0
1,5,34,1
1,22,40,0
1,6,19,2
0,29,14,0
0,13,25,1
1,38,25,1
1,6,4,0
0,25,26,2
0,11,11,2
0,27,33,1
1,23,25,2
1,23,40,2
0,22,4,2
1,3,10,0
1,28,24,0
0,2,31,0
0,7,4,2
0,11,13,2
1,4,4,1
0,1,33,0
1,15,12,2
1,34,27,1
0,12,18,2
0,28,23,0
0,10,36,0
1,26,28,2
0,4,1,2
1,40,19,1
1,1,13,0
0,4,27,0
0,33,38,2
1,29,19,2
0,30,11,2
0,23,8,0
1,14,37,1
0,8,17,0
0,18,16,0
0,6,29,2
1,16,22,0
1,31,23,0
0,0,26,0
0,20,27,0
0,2,23,0
0,38,7,0
1,21,2,2
1,26,12,1
1,39,11,0
1,29,29,2
0,40,18,0
1,27,7,0
1,30,25,0
0,20,40,0
0,32,29,0
0,10,20,2
0,6,15,1
1,7,16,1
1,4,40,2
0,12,3,0
1,11,36,0
0,27,26,1
1,12,14,0
0,27,21,2
1,34,15,1
1,5,31,2
0,40,30,2
0,30,14,1
1,35,12,0
0,18,35,1
1,30,5,0
0,39,24,1
1,12,26,0
0,36,10,0
0,11,14,0
0,26,10,0
1,30,16,0
1,23,35,1
0,0,10,2
0,11,29,2
0,9,2,2
1,19,22,0
0,23,23,2
1,28,15,1
0,0,21,0
1,2,23,0
0,21,35,1
0,36,39,1
1,30,36,0
0,27,32,1
1,26,8,0
0,24,33,0
0,37,9,2
1,9,27,1
0,12,6,0
1,33,19,1
1,27,20,1
0,11,22,2
0,13,35,2
1,5,11,0
0,2,10,0
1,6,35,1
1,6,30,2
1,17,25,2
1,10,11,1
0,31,10,0
0,29,40,1
1,37,20,2
1,11,23,0
1,33,31,0
0,24,22,1
0,9,31,2
1,4,16,2
1,0,26,1
0,31,1,2
0,1,27,0
0,2,27,2
0,31,20,2
1,35,36,0
1,39,15,1
