knowledge_approval,knowledge_reliability,knowledge_accuracy,knowledge_quality
5,29,13,2
18,34,8,0
8,23,10,2
29,24,12,1
23,16,25,0
5,18,8,1
27,31,37,0
35,19,23,1
10,19,8,0
30,19,8,2
19,23,25,0
32,37,28,0
17,36,18,1
24,21,6,2
14,37,36,1
20,18,10,1
0,27,31,0
23,0,12,1
30,13,38,0
26,26,31,0
6,37,25,2
12,10,34,1
14,37,3,1
19,23,31,0
10,18,1,0
2,40,18,1
30,22,37,0
33,19,8,2
39,29,25,2
32,4,16,2
10,24,1,2
22,0,5,1
14,1,3,0
31,24,2,1
28,19,13,0
26,33,32,2
12,22,2,1
32,6,8,0
38,40,13,2
0,5,11,2
9,17,33,2
21,22,20,0
40,27,35,0
39,29,1,1
14,10,0,1
17,1,20,0
3,7,1,0
13,9,27,1
0,27,20,1
13,38,0,1
27,28,15,1
2,9,11,0
2,16,36,1
26,27,12,1
14,16,3,2
19,30,25,1
9,0,18,1
19,12,14,0
7,17,26,2
26,38,37,2
9,32,0,0
38,6,40,1
16,16,38,0
22,17,32,2
17,16,0,0
14,36,1,2
19,36,34,2
13,20,23,1
9,26,18,1
28,23,30,2
3,36,23,2
5,12,18,1
15,5,3,0
19,5,14,1
34,36,32,0
30,29,29,0
18,12,21,0
0,38,35,2
14,33,4,0
3,18,26,0
37,31,27,0
0,0,7,2
31,13,0,0
14,28,22,1
6,6,16,1
22,35,17,0
1,26,18,1
21,24,4,0
34,11,26,1
11,39,22,2
29,26,33,1
22,17,14,1
18,6,38,2
20,20,22,1
18,31,10,0
7,33,8,1
30,22,11,2
13,36,2,1
15,33,24,2
29,27,37,2
18,23,26,1
7,1,24,2
3,24,27,0
1,34,30,2
10,22,36,0
32,31,28,1
2,23,31,2
11,29,10,1
5,35,27,0
12,29,31,1
12,24,33,2
9,37,0,1
34,8,0,2
32,38,38,2
1,15,1,2
28,32,12,2
8,5,35,1
23,18,20,1
5,19,18,1
23,15,0,1
25,17,6,0
19,7,11,0
31,20,14,0
0,28,4,2
7,0,1,1
18,7,8,1
30,28,4,2
38,9,2,1
8,22,7,2
36,15,35,0
26,17,31,0
2,39,35,0
40,13,35,2
16,25,18,0
31,2,16,0
12,39,34,2
11,36,5,2
8,8,35,2
19,9,14,1
26,15,29,2
9,10,19,1
5,20,8,0
29,34,26,2
35,26,32,2
36,37,6,1
29,33,3,0
18,22,22,1
26,12,0,1
31,19,33,0
5,12,13,2
5,2,10,1
18,4,14,0
33,1,8,0
33,0,37,2
32,37,10,0
18,25,28,2
28,16,14,1
6,36,28,1
31,11,14,2
36,16,9,0
19,17,6,2
16,32,14,0
14,31,18,2
33,27,21,1
12,24,6,1
28,6,6,0
27,3,38,0
36,32,10,1
33,24,20,0
6,36,3,1
26,31,13,2
15,27,10,1
21,21,13,1
13,25,4,1
31,14,27,0
38,26,29,1
32,20,26,2
36,12,14,2
36,16,30,1
0,32,14,0
32,11,6,1
21,9,12,2
28,19,2,0
1,39,6,1
19,37,15,2
34,22,21,0
10,34,4,0
28,5,12,2
16,17,36,2
35,23,22,1
9,7,15,1
29,38,1,1
24,6,20,2
30,31,38,0
17,1,35,0
8,7,15,0
20,9,13,0
3,8,18,2
18,3,11,1
4,36,16,0
9,39,16,0
2,15,22,1
24,35,9,0
13,1,3,1
28,1,38,2
31,21,31,2
0,38,29,1
1,33,27,0
25,38,20,2
29,32,38,0
25,35,29,1
4,28,18,1
33,5,11,2
36,16,20,2
3,28,30,1
20,14,3,0
30,21,38,0
3,7,28,0
20,26,24,1
6,26,26,0
0,36,15,0
15,36,20,1
39,33,38,2
20,40,14,1
38,21,24,0
0,29,14,1
19,28,27,1
11,18,12,2
22,23,38,1
19,29,28,1
28,8,12,1
22,37,40,2
28,22,21,1
15,39,13,0
31,29,32,0
39,4,32,0
12,24,13,2
28,26,40,1
9,34,25,2
7,1,36,2
7,10,35,0
1,19,30,2
36,3,39,0
16,21,24,0
9,12,35,1
12,8,23,0
35,28,8,2
0,39,37,0
33,38,4,0
34,31,1,2
21,2,22,2
13,12,34,2
29,24,24,0
18,26,23,2
34,31,13,2
9,39,0,0
0,16,32,2
39,18,9,1
28,11,2,0
28,8,13,1
28,17,9,0
34,32,6,2
40,21,20,0
11,32,22,2
13,38,33,2
33,10,2,0
10,15,31,0
40,36,17,2
6,7,17,2
19,32,13,2
30,31,24,2
6,5,10,0
26,40,10,1
16,14,16,0
