Knowledge_Reliability,Knowledge_Accuracy,Knowledge_Quality
17,25,2
20,6,0
4,36,2
39,33,1
31,27,0
36,40,1
5,18,1
33,11,0
14,24,2
37,34,2
36,32,1
1,40,0
29,17,0
34,5,0
11,25,2
12,32,0
7,19,0
31,29,1
9,8,0
15,30,1
8,28,1
26,34,2
30,37,2
20,5,1
14,31,2
30,12,1
23,14,0
10,1,0
26,28,2
26,10,0
32,6,2
8,35,1
15,32,2
24,16,0
33,27,1
7,21,0
35,39,2
2,28,1
1,35,2
24,29,2
10,35,2
3,18,1
6,24,1
6,34,0
34,22,2
0,23,2
2,17,1
31,24,1
24,20,0
18,23,1
15,4,0
29,35,0
3,0,2
28,22,0
4,11,0
28,7,1
13,9,1
18,40,2
30,27,2
34,23,0
30,1,2
22,4,1
37,32,1
28,22,0
21,13,2
31,11,0
19,35,0
11,25,2
11,10,0
35,19,2
4,7,0
16,15,2
35,28,2
6,31,2
1,17,0
39,28,0
0,40,0
3,1,0
33,6,1
22,11,1
0,6,0
33,25,1
17,36,1
11,19,1
22,27,2
34,20,0
7,14,1
1,20,1
0,26,1
29,20,2
14,3,1
34,8,1
39,37,1
0,2,1
29,36,2
34,10,2
27,5,2
27,25,2
9,21,2
10,5,1
23,24,2
18,34,1
11,8,1
26,16,2
39,1,0
35,0,2
9,15,1
32,8,1
21,40,0
27,18,1
11,18,1
1,39,2
19,31,0
33,15,1
40,25,0
2,38,2
3,30,2
18,24,0
31,2,1
35,39,0
19,27,0
22,30,1
20,2,2
14,7,0
7,16,1
24,12,0
25,16,0
2,17,2
29,6,0
18,34,1
23,33,0
18,31,1
12,34,0
15,35,0
26,7,1
3,34,2
39,40,0
33,21,2
30,15,1
19,30,1
22,14,2
5,4,2
14,31,2
25,22,1
7,17,0
7,13,0
36,3,0
6,23,1
9,33,1
6,4,2
2,40,0
17,22,1
13,13,2
34,7,1
8,36,2
32,27,0
0,7,1
29,24,0
19,12,0
32,20,1
40,5,2
0,30,1
37,15,0
35,14,0
34,27,1
3,34,2
37,4,0
16,2,0
30,0,2
2,17,0
9,11,1
30,28,0
30,21,2
36,37,0
0,23,1
24,13,1
14,33,0
33,15,1
2,4,0
24,3,2
31,28,0
22,6,0
9,33,2
27,17,2
31,35,0
14,9,2
30,30,1
40,16,0
16,10,1
35,39,1
17,30,2
11,39,1
9,34,0
3,29,1
15,29,2
40,5,0
6,36,0
20,12,1
3,33,0
27,5,0
26,9,0
8,17,2
38,3,2
28,6,0
29,20,1
4,37,0
13,28,2
1,31,1
6,14,0
30,3,1
7,28,0
10,18,2
25,36,2
5,34,0
22,4,0
13,32,0
36,32,2
4,30,2
19,6,2
20,3,0
9,26,0
5,23,2
38,32,0
26,25,0
17,16,1
5,11,1
32,40,0
18,35,0
17,1,1
1,26,1
13,6,2
19,12,2
20,26,1
40,8,2
13,34,0
38,1,0
21,12,0
14,23,0
28,28,1
8,26,0
14,40,0
13,39,1
3,38,1
38,12,1
32,5,1
32,3,1
31,39,2
28,6,1
28,1,0
9,5,2
8,32,1
16,12,0
9,12,2
35,24,1
20,38,1
26,13,2
27,16,1
9,33,2
33,21,1
17,10,1
34,8,2
13,21,1
0,36,2
14,37,0
26,24,1
8,24,0
5,27,2
20,4,0
2,2,2
29,24,2
20,31,2
33,1,2
16,23,0
12,11,2
19,8,0
4,23,2
16,11,2
10,12,1
6,32,1
10,7,2
25,21,0
15,7,2
22,36,1
38,29,2
15,1,1
40,37,1
19,29,0
32,4,2
14,0,0
16,29,0
25,3,0
19,31,1
33,23,0
22,39,0
33,40,0
0,18,2
31,18,0
40,28,0
2,39,2
34,10,2
0,23,1
35,35,1
8,10,1
6,11,2
32,33,0
40,24,1
32,25,1
25,20,2
24,13,2
40,8,2
3,3,2
16,10,0
39,0,0
12,30,0
32,29,1
15,9,1
25,33,0
29,35,0
3,11,2
10,36,2
4,25,0
9,39,2
23,33,1
23,6,2
40,29,1
9,19,0
38,15,2
16,38,2
18,28,2
36,30,1
23,15,1
6,37,1
4,1,0
10,28,0
27,31,0
31,30,2
36,11,0
33,8,1
10,39,0
33,22,1
21,29,0
7,26,0
31,1,2
10,8,0
35,17,1
17,25,1
22,39,0
4,17,1
2,4,1
39,32,1
21,8,2
39,31,0
9,40,1
21,0,0
23,18,0
25,6,1
20,11,1
7,29,1
40,9,0
4,20,1
3,10,0
38,18,2
5,11,0
14,12,2
11,5,1
3,4,2
29,8,0
29,17,1
17,24,2
10,1,2
14,11,2
5,39,2
6,39,0
37,40,2
24,36,2
1,11,1
11,2,0
31,6,1
8,16,1
28,5,2
2,11,2
7,31,2
5,10,2
5,8,0
1,22,1
39,36,0
38,29,0
6,21,2
24,11,1
5,33,2
25,16,1
26,6,1
18,35,2
1,7,1
10,0,1
12,6,1
28,11,1
31,1,1
33,37,2
10,19,1
15,2,0
36,3,1
25,36,1
22,14,0
9,14,2
38,6,0
39,4,1
2,34,2
24,0,2
3,35,2
30,12,2
4,15,0
14,36,0
9,11,0
36,39,2
9,24,1
17,11,2
34,4,0
6,13,1
3,36,1
19,7,0
10,40,1
18,6,0
40,9,0
2,8,1
36,21,0
21,9,0
12,13,1
23,22,0
29,30,0
0,8,0
18,17,2
24,25,2
6,13,0
9,30,2
26,15,0
33,20,1
7,4,0
36,22,1
1,15,2
16,18,0
11,4,1
6,30,2
31,8,1
33,9,1
5,14,1
5,32,2
17,13,0
33,2,0
34,2,0
14,24,1
5,19,2
9,17,2
33,26,0
23,12,1
35,38,1
11,10,1
18,31,1
7,6,1
18,28,2
18,33,1
6,35,2
31,3,2
28,23,0
29,34,0
25,25,0
16,27,2
28,19,2
20,9,2
1,21,2
36,20,1
7,2,2
27,24,0
40,29,2
30,20,2
10,13,1
40,14,1
5,28,2
5,0,1
29,32,0
32,9,0
25,2,2
20,14,0
9,11,0
11,15,0
2,33,1
15,30,2
23,31,2
10,5,0
15,20,1
9,9,2
1,32,1
28,9,1
0,23,1
18,39,1
19,22,1
10,5,2
21,2,0
11,0,0
15,0,2
34,21,1
8,17,2
30,23,2
5,36,0
25,29,0
2,18,2
10,13,1
25,18,0
40,20,1
3,20,2
0,3,1
34,6,2
4,28,2
18,17,2
16,11,2
0,32,0
4,26,0
31,35,2
19,10,2
10,36,0
26,26,1
36,0,0
7,21,1
9,3,2
9,2,2
7,24,1
34,33,1
22,21,0
2,18,1
36,40,0
0,2,1
1,15,0
7,20,2
34,28,2
23,32,2
16,10,2
21,29,2
8,21,1
36,17,1
32,17,2
40,7,2
7,26,2
6,20,0
36,12,1
24,40,0
24,37,0
5,38,0
4,15,2
26,18,1
20,23,1
15,38,1
39,6,1
17,7,1
5,2,2
28,37,1
5,21,2
21,13,0
19,28,1
0,35,1
0,30,0
5,26,1
39,15,2
26,6,1
20,12,1
0,33,2
17,23,1
14,8,1
0,29,1
28,32,0
7,38,0
23,21,2
18,1,2
34,36,0
18,25,0
22,26,0
27,15,2
8,22,0
7,31,1
21,23,0
15,3,0
35,20,1
4,37,0
15,27,0
30,28,1
7,23,0
0,8,0
9,34,0
20,21,0
13,8,2
0,10,2
31,6,1
31,23,2
13,16,1
22,6,0
31,35,2
11,33,2
37,39,2
30,26,0
17,30,1
9,16,1
38,33,2
9,3,2
4,39,1
3,26,1
27,37,0
25,34,0
37,13,2
24,29,1
12,13,2
13,5,2
31,0,1
24,30,2
18,35,1
19,29,1
29,30,0
33,34,2
36,30,1
6,7,1
9,27,0
14,35,2
22,30,2
17,36,1
0,32,1
23,19,1
30,2,2
17,13,2
20,5,1
12,18,1
3,14,0
10,28,2
20,40,1
39,39,0
11,15,2
10,38,1
21,24,2
30,6,0
7,6,0
34,3,0
24,38,2
0,22,0
1,8,1
37,20,1
29,27,2
5,27,0
25,40,1
24,27,0
16,29,1
10,14,1
17,4,0
40,11,1
21,0,2
38,38,1
28,36,2
18,37,0
21,15,0
4,14,0
18,31,2
10,28,2
17,4,0
30,29,2
21,23,2
7,8,2
35,0,0
36,9,0
5,3,0
10,19,0
19,38,1
19,6,1
38,23,1
27,26,2
16,19,2
13,28,1
8,21,1
7,32,0
2,16,1
23,30,2
1,33,0
38,29,1
20,21,1
6,4,0
19,19,0
8,35,0
19,4,0
24,14,1
11,27,2
27,21,0
35,6,1
25,8,0
15,34,2
39,21,2
15,26,0
9,36,1
21,18,2
20,34,2
9,37,0
16,4,1
7,29,2
20,36,2
1,5,2
21,33,2
33,29,1
20,11,1
18,34,1
18,8,2
40,38,1
15,34,0
0,2,0
33,5,0
11,30,0
1,4,0
26,2,2
2,10,0
32,18,0
11,13,0
28,29,0
24,25,1
23,22,1
1,28,2
6,15,0
33,22,0
33,40,1
0,23,1
36,2,0
0,15,1
38,27,2
0,35,0
18,23,0
27,29,0
2,16,1
24,25,1
20,24,0
28,2,2
5,27,2
9,16,0
28,34,0
19,37,0
7,27,1
20,16,1
19,3,1
10,35,2
31,25,1
6,1,0
38,25,2
12,38,2
4,38,2
27,6,1
4,3,1
1,35,1
18,21,2
26,34,1
14,37,1
40,11,0
8,35,0
37,17,0
26,1,1
22,11,0
3,1,1
29,7,2
13,2,2
39,2,2
14,34,0
0,25,0
22,0,1
33,17,1
20,30,0
31,40,2
20,5,0
4,8,1
3,5,2
33,32,2
3,34,2
33,16,2
10,39,1
13,32,0
4,1,2
14,26,0
22,3,2
26,18,2
6,0,2
27,30,0
24,26,0
33,24,1
34,20,2
19,6,0
0,6,0
10,39,0
24,18,0
10,39,2
39,15,0
21,27,2
11,12,1
15,18,2
22,29,2
28,3,2
30,35,1
20,20,2
21,35,1
10,14,2
22,18,0
27,8,2
23,17,1
17,33,1
19,2,0
9,25,0
6,25,0
11,30,0
3,40,1
30,3,0
34,19,0
18,23,0
30,25,2
21,16,2
7,22,0
16,37,2
34,18,0
29,16,0
23,11,1
26,14,2
0,35,2
1,20,0
16,36,1
0,33,1
12,25,2
35,39,1
31,1,0
18,8,0
19,3,2
17,27,2
19,6,0
32,16,2
29,23,0
15,7,2
13,3,2
31,31,1
35,26,0
36,26,2
6,7,0
26,2,0
1,40,0
17,19,2
35,20,1
28,33,0
40,20,2
27,39,2
22,19,2
28,15,2
19,4,1
35,17,2
11,8,2
29,22,2
13,7,2
23,22,0
4,34,1
21,28,0
18,27,1
12,10,0
16,27,0
6,12,2
15,9,0
25,6,1
12,28,2
30,21,1
6,35,2
34,2,1
33,9,0
29,9,0
14,16,1
13,11,0
34,19,0
18,0,2
11,4,1
22,37,2
21,1,2
0,2,0
19,31,1
13,17,0
36,11,0
25,0,1
28,15,1
13,13,2
6,34,0
2,39,2
16,19,0
22,39,2
20,26,2
2,15,1
8,24,1
25,11,1
5,26,1
19,10,0
25,8,2
30,38,2
38,0,0
2,0,1
38,3,1
40,9,0
1,28,0
35,19,2
21,12,2
31,6,1
23,6,2
14,5,0
6,36,1
6,31,1
38,26,0
33,38,2
40,19,2
16,13,0
28,32,0
10,28,1
34,33,2
29,5,0
11,23,2
10,13,1
25,35,1
19,32,1
40,14,2
22,15,2
33,21,2
21,15,1
38,24,0
14,29,2
4,11,0
24,25,2
11,9,2
25,27,2
40,31,2
32,21,1
9,14,2
27,3,1
15,36,1
20,19,0
17,11,0
20,18,1
5,33,2
8,38,1
12,10,2
37,28,1
11,11,0
19,14,2
26,18,0
24,5,0
22,14,1
0,33,0
37,31,1
16,0,1
36,16,0
31,21,1
8,0,2
26,0,1
0,31,0
34,0,1
32,25,1
8,8,1
12,7,0
35,40,1
37,32,0
0,27,0
13,29,0
13,20,2
23,14,1
35,32,1
39,27,2
2,10,1
8,3,1
15,28,0
20,14,0
34,8,0
17,38,2
39,28,1
16,0,1
25,7,1
36,18,2
26,8,2
17,21,1
38,25,2
5,28,1
5,18,2
28,21,0
12,9,0
15,23,1
29,28,2
0,8,2
12,25,0
12,31,0
29,17,2
23,28,1
26,6,1
4,39,0
34,10,1
17,3,0
40,32,2
19,13,1
14,18,2
10,28,2
3,16,2
33,26,1
2,28,1
5,40,2
25,17,0
