Knowledge_Accuracy,Knowledge_Quality
1,2
32,2
5,2
20,0
31,2
18,0
37,2
19,0
19,2
6,0
14,2
37,2
10,1
28,2
2,0
9,2
39,1
8,2
20,1
1,2
35,0
21,2
2,1
39,1
18,0
7,2
26,2
12,1
19,0
2,1
4,1
2,2
38,0
2,2
14,1
3,2
6,2
37,0
31,0
25,0
3,2
3,1
17,0
9,0
29,0
11,1
2,0
8,1
19,1
22,0
6,1
10,1
7,0
39,0
38,0
33,1
15,2
12,1
21,2
3,0
33,1
7,2
28,2
37,2
6,0
10,2
39,2
35,1
28,1
3,1
28,2
7,1
21,0
1,0
12,1
35,0
22,0
12,2
38,1
24,2
22,0
2,2
5,0
15,2
31,0
15,1
15,0
40,0
29,0
21,2
2,2
16,0
21,0
35,2
11,2
31,0
11,2
12,0
2,2
28,1
22,0
18,1
3,2
36,1
1,2
28,0
1,1
10,2
37,2
40,2
21,1
34,2
13,2
33,1
4,0
26,1
7,0
30,0
13,2
3,2
9,1
6,0
11,1
25,2
34,2
10,1
3,0
5,0
39,0
10,2
21,2
9,2
16,2
25,0
32,1
37,2
10,1
21,0
29,1
24,0
18,0
1,0
17,0
20,0
32,1
10,2
25,1
39,1
1,0
31,1
19,2
14,0
39,1
36,2
8,2
37,2
34,2
8,2
35,1
26,2
25,1
27,0
37,0
19,2
9,0
35,1
31,1
11,2
33,0
9,0
35,2
19,0
6,2
37,1
23,2
14,0
12,2
34,1
7,0
2,2
21,1
10,1
24,2
35,1
25,0
38,0
3,0
22,1
32,2
22,2
28,1
8,1
15,2
14,2
17,1
37,2
28,0
35,0
29,2
28,0
1,1
25,1
39,2
4,1
27,0
34,0
7,0
7,0
7,2
25,2
2,0
4,1
16,1
30,2
30,1
30,2
35,0
37,2
32,2
9,2
12,2
5,1
35,1
28,0
21,1
20,0
14,0
25,1
33,0
20,2
13,2
12,1
15,1
24,2
34,2
2,1
4,2
15,1
20,2
3,0
17,1
37,2
34,1
33,1
23,0
33,2
10,2
37,2
14,1
16,2
37,2
4,1
12,0
26,1
6,0
27,0
40,1
21,1
36,2
7,2
31,0
2,0
11,0
23,1
34,0
35,0
24,2
6,2
22,1
40,2
32,1
3,0
40,0
24,1
25,1
28,2
33,0
6,1
36,0
26,2
40,0
22,0
37,0
13,1
33,0
2,0
1,0
33,1
26,2
28,1
3,0
9,0
16,0
1,2
26,1
8,1
39,1
10,2
13,1
18,1
37,1
18,2
25,1
39,0
35,1
19,1
8,2
30,1
7,1
20,0
2,1
18,0
18,1
19,0
35,0
38,2
5,0
34,2
38,2
8,0
17,0
30,2
34,1
33,2
20,0
36,2
3,2
30,1
26,1
40,2
26,1
16,0
35,2
22,1
36,0
39,2
30,0
12,2
30,0
25,1
34,2
27,2
39,1
10,1
38,1
12,0
21,0
18,2
14,2
26,2
11,2
5,2
33,1
10,2
25,1
28,1
33,0
12,0
22,0
31,2
32,1
4,1
11,2
35,1
35,1
14,1
35,0
3,2
40,2
35,1
2,1
3,1
14,2
7,1
32,2
10,1
39,1
16,0
40,2
33,0
14,0
37,0
23,2
8,2
40,0
11,1
4,1
6,2
9,0
8,0
15,1
10,2
13,1
30,1
38,0
39,1
3,2
25,2
5,0
17,0
17,0
35,1
23,2
24,2
34,0
8,0
22,2
26,0
20,0
6,0
3,2
29,0
36,0
11,0
15,0
16,2
30,1
3,1
40,1
18,1
7,1
2,2
40,2
5,0
25,1
25,1
10,1
17,2
15,1
37,2
4,0
12,0
34,2
20,1
12,2
19,1
13,0
9,1
13,0
12,1
29,1
19,2
7,1
20,1
6,1
19,2
34,0
21,1
36,2
31,0
7,0
37,2
31,1
30,2
5,1
39,2
24,1
28,2
11,1
36,0
17,0
39,0
22,0
31,2
3,0
5,1
40,1
37,1
40,0
13,0
8,1
25,2
8,2
26,0
24,2
25,0
19,1
1,2
30,0
30,1
31,0
33,0
25,2
32,1
19,1
6,1
2,1
37,1
38,0
2,1
17,2
11,0
24,2
36,2
30,0
20,2
29,0
15,0
15,0
21,0
32,0
4,0
25,1
27,1
5,0
13,2
5,2
19,0
4,0
12,1
3,0
20,2
9,0
39,1
27,0
31,2
15,1
15,2
40,2
6,2
20,1
25,2
18,1
6,2
22,0
16,0
27,1
34,1
37,1
7,1
40,0
7,0
40,1
35,0
33,0
21,1
37,1
9,0
3,2
19,1
14,0
10,1
4,2
40,0
28,2
24,1
35,0
4,2
40,0
38,2
20,0
13,2
12,2
20,0
21,1
33,0
20,2
2,1
36,2
20,1
40,0
32,1
23,0
20,1
17,0
11,2
21,2
9,0
20,0
1,0
33,0
2,2
26,1
34,0
23,0
26,0
4,0
33,1
33,0
9,1
28,1
35,2
26,1
6,0
27,1
19,0
23,0
8,2
30,1
26,0
24,0
5,1
17,1
21,0
22,0
32,2
24,0
28,2
23,0
