knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_rating,knowledge_quality
1,40,1,24,2
1,36,1,32,2
1,38,1,36,2
1,26,1,32,2
1,25,1,29,2
1,37,1,40,2
1,34,1,36,2
1,29,1,23,2
1,24,1,39,2
1,31,1,36,2
1,34,1,31,2
1,39,1,35,2
1,31,1,24,2
1,24,1,40,2
1,23,1,34,2
1,21,1,27,2
1,32,1,32,2
1,35,1,37,2
1,22,1,31,2
1,36,1,31,2
1,26,1,24,2
1,26,1,39,2
1,34,1,29,2
1,39,1,24,2
1,32,1,27,2
1,30,1,40,2
1,33,1,28,2
1,28,1,21,2
1,35,1,31,2
1,22,1,21,2
1,22,1,28,2
1,33,1,32,2
1,35,1,22,2
1,36,1,28,2
1,37,1,24,2
1,38,1,39,2
1,36,1,31,2
1,35,1,35,2
1,28,1,26,2
1,33,1,23,2
1,31,1,31,2
1,26,1,37,2
1,29,1,25,2
1,39,1,39,2
1,27,1,23,2
1,34,1,24,2
1,36,1,40,2
1,24,1,39,2
1,26,1,26,2
1,26,1,34,2
1,27,1,37,2
1,22,1,32,2
1,38,1,39,2
1,28,1,22,2
1,29,1,31,2
1,28,1,36,2
1,29,1,34,2
1,30,1,36,2
1,30,1,38,2
1,24,1,29,2
1,23,1,25,2
1,36,1,33,2
1,22,1,30,2
1,40,1,28,2
1,28,1,22,2
1,38,1,33,2
1,25,1,24,2
1,25,1,36,2
1,33,1,39,2
1,23,1,26,2
1,36,1,29,2
1,22,1,34,2
1,37,1,21,2
1,32,1,31,2
1,31,1,26,2
1,33,1,23,2
1,24,1,38,2
1,34,1,29,2
1,32,1,31,2
1,22,1,37,2
1,33,1,21,2
1,27,1,34,2
1,31,1,38,2
1,30,1,35,2
1,26,1,24,2
1,23,1,39,2
1,35,1,40,2
1,23,1,38,2
1,40,1,32,2
1,23,1,39,2
1,28,1,31,2
1,37,1,40,2
1,34,1,30,2
1,30,1,35,2
1,34,1,30,2
1,40,1,23,2
1,35,1,25,2
1,39,1,33,2
1,31,1,31,2
1,33,1,33,2
1,39,1,37,2
1,32,1,39,2
1,40,1,39,2
1,37,1,33,2
1,24,1,31,2
1,34,1,40,2
1,31,1,32,2
1,25,1,23,2
1,32,1,25,2
1,30,1,40,2
1,28,1,40,2
1,28,1,32,2
1,33,1,35,2
1,29,1,36,2
1,22,1,28,2
1,23,1,30,2
1,34,1,21,2
1,37,1,22,2
1,28,1,28,2
1,39,1,23,2
1,22,1,35,2
1,21,1,25,2
1,22,1,39,2
1,35,1,34,2
1,30,1,26,2
1,36,1,36,2
1,34,1,38,2
1,40,1,28,2
1,32,1,27,2
1,27,1,23,2
1,30,1,24,2
1,25,1,24,2
1,26,1,31,2
1,24,1,33,2
1,40,1,38,2
1,30,1,33,2
1,28,1,37,2
1,37,1,39,2
1,33,1,22,2
1,39,1,30,2
1,24,1,31,2
1,34,1,34,2
1,31,1,39,2
1,24,1,33,2
1,27,1,31,2
1,24,1,28,2
1,26,1,36,2
1,28,1,26,2
1,36,1,35,2
1,40,1,31,2
1,27,1,33,2
1,32,1,30,2
1,22,1,33,2
1,35,1,28,2
1,35,1,34,2
1,35,1,21,2
1,24,1,24,2
1,33,1,27,2
1,23,1,29,2
1,31,1,35,2
1,27,1,26,2
1,29,1,29,2
1,32,1,21,2
1,37,1,39,2
1,40,1,22,2
1,33,1,39,2
1,28,1,39,2
1,21,1,38,2
1,32,1,38,2
1,22,1,25,2
1,36,1,23,2
1,36,1,27,2
1,32,1,37,2
1,25,1,32,2
1,28,1,30,2
1,24,1,30,2
1,30,1,38,2
1,29,1,30,2
1,33,1,33,2
1,28,1,22,2
1,39,1,36,2
1,34,1,40,2
1,23,1,26,2
1,28,1,29,2
1,24,1,32,2
1,24,1,40,2
1,37,1,25,2
1,29,1,24,2
1,28,1,27,2
1,33,1,25,2
1,27,1,31,2
1,22,1,32,2
1,32,1,30,2
1,37,1,25,2
1,23,1,26,2
1,37,1,38,2
1,29,1,38,2
1,23,1,28,2
1,33,1,27,2
1,25,1,40,2
1,23,1,27,2
1,23,1,21,2
1,25,1,26,2
1,25,1,38,2
1,27,1,40,2
1,38,1,36,2
1,38,1,32,2
1,23,1,27,2
1,28,1,29,2
1,32,1,25,2
1,38,1,24,2
1,36,1,39,2
1,23,1,25,2
1,35,1,38,2
1,28,1,32,2
1,34,1,35,2
1,26,1,29,2
1,27,1,29,2
1,38,1,38,2
1,28,1,28,2
1,36,1,32,2
1,32,1,21,2
1,39,1,35,2
1,38,1,23,2
1,33,1,27,2
1,29,1,22,2
1,30,1,21,2
1,33,1,35,2
1,23,1,25,2
1,33,1,23,2
1,34,1,34,2
1,33,1,39,2
1,31,1,33,2
1,21,1,40,2
1,38,1,24,2
1,23,1,23,2
1,22,1,26,2
1,31,1,33,2
1,34,1,36,2
1,32,1,33,2
1,38,1,38,2
1,28,1,38,2
1,34,1,24,2
1,30,1,26,2
1,25,1,23,2
1,33,1,31,2
1,24,1,39,2
1,28,1,34,2
1,39,1,21,2
1,25,1,23,2
1,21,1,25,2
1,21,1,22,2
1,22,1,26,2
1,32,1,24,2
1,39,1,25,2
1,38,1,23,2
1,31,1,22,2
1,39,1,38,2
1,34,1,38,2
1,38,1,22,2
1,37,1,32,2
1,29,1,35,2
1,34,1,24,2
1,28,1,36,2
1,28,1,34,2
1,35,1,34,2
1,27,1,29,2
1,35,1,23,2
1,28,1,38,2
1,26,1,30,2
1,34,1,32,2
1,29,1,26,2
1,40,1,26,2
1,27,1,38,2
1,26,1,36,2
1,36,1,36,2
1,23,1,32,2
1,34,1,22,2
1,22,1,31,2
1,37,1,24,2
1,30,1,38,2
1,21,1,35,2
1,29,1,26,2
1,21,1,31,2
1,23,1,36,2
1,31,1,40,2
1,37,1,25,2
1,36,1,28,2
1,38,1,21,2
1,40,1,21,2
1,26,1,23,2
1,29,1,34,2
1,33,1,27,2
1,34,1,38,2
1,35,1,30,2
1,32,1,30,2
1,23,1,29,2
1,34,1,35,2
1,39,1,32,2
1,39,1,37,2
1,25,1,21,2
1,29,1,38,2
1,35,1,34,2
1,35,1,24,2
1,23,1,29,2
1,30,1,34,2
1,39,1,22,2
1,25,1,27,2
1,34,1,32,2
1,26,1,38,2
1,26,1,23,2
1,29,1,29,2
1,26,1,34,2
1,38,1,23,2
1,23,1,27,2
1,21,1,28,2
1,32,1,35,2
1,40,1,28,2
1,30,1,33,2
1,21,1,39,2
1,26,1,31,2
1,40,1,26,2
1,28,1,27,2
1,36,1,23,2
1,24,1,25,2
1,38,1,28,2
1,31,1,23,2
1,32,1,26,2
1,40,1,23,2
1,32,1,24,2
1,32,1,39,2
1,25,1,30,2
1,27,1,34,2
1,21,1,24,2
1,22,1,22,2
1,30,1,24,2
1,21,1,24,2
1,23,1,24,2
1,35,1,38,2
1,28,1,38,2
1,36,1,37,2
1,21,1,36,2
1,28,1,33,2
1,33,1,22,2
1,30,1,21,2
1,29,1,34,2
1,26,1,21,2
1,35,1,30,2
1,29,1,22,2
1,30,1,22,2
1,25,1,27,2
1,23,1,32,2
1,21,1,26,2
1,24,1,27,2
1,32,1,29,2
1,26,1,28,2
1,27,1,33,2
1,23,1,31,2
1,28,1,29,2
1,26,1,29,2
1,34,1,24,2
1,34,1,33,2
1,25,1,21,2
1,23,1,29,2
1,27,1,35,2
1,39,1,25,2
1,37,1,33,2
1,27,1,40,2
1,23,1,25,2
1,32,1,32,2
1,31,1,30,2
1,34,1,30,2
1,36,1,38,2
1,32,1,38,2
1,22,1,29,2
1,23,1,34,2
1,34,1,26,2
1,28,1,31,2
1,26,1,38,2
1,32,1,21,2
1,29,1,22,2
1,29,1,31,2
1,25,1,38,2
1,29,1,33,2
1,21,1,32,2
1,30,1,29,2
1,38,1,34,2
1,36,1,25,2
1,36,1,24,2
1,36,1,31,2
1,25,1,29,2
1,30,1,36,2
1,37,1,34,2
1,36,1,26,2
1,38,1,24,2
1,32,1,26,2
1,21,1,26,2
1,33,1,23,2
1,26,1,35,2
1,24,1,37,2
1,34,1,23,2
1,22,1,22,2
1,27,1,35,2
1,28,1,35,2
1,40,1,34,2
1,31,1,34,2
1,38,1,34,2
1,33,1,40,2
1,37,1,38,2
1,26,1,31,2
1,29,1,26,2
1,32,1,26,2
1,32,1,28,2
1,36,1,24,2
1,29,1,30,2
1,27,1,21,2
1,34,1,38,2
1,22,1,30,2
1,32,1,25,2
1,28,1,24,2
1,24,1,24,2
1,36,1,24,2
1,33,1,39,2
1,30,1,38,2
1,32,1,30,2
1,33,1,26,2
1,32,1,37,2
1,40,1,38,2
1,32,1,28,2
1,31,1,26,2
1,39,1,21,2
1,27,1,28,2
1,39,1,27,2
1,29,1,32,2
