knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_quality
3,22,30,2
3,34,38,2
3,29,35,2
3,36,25,2
3,33,40,2
3,24,31,2
3,25,29,2
3,23,33,2
3,23,40,2
3,36,32,2
3,40,34,2
3,28,35,2
3,40,30,2
3,34,32,2
3,38,39,2
3,22,39,2
3,35,25,2
3,39,37,2
3,24,24,2
3,36,28,2
3,23,37,2
3,27,35,2
3,27,29,2
3,21,21,2
3,36,21,2
3,35,28,2
3,37,31,2
3,21,28,2
3,29,35,2
3,30,32,2
3,29,31,2
3,23,40,2
3,34,24,2
3,35,30,2
3,35,21,2
3,21,34,2
3,25,28,2
3,34,31,2
3,39,21,2
3,35,33,2
3,22,40,2
3,21,35,2
3,28,22,2
3,21,29,2
3,34,30,2
3,30,23,2
3,33,37,2
3,38,32,2
3,21,31,2
3,23,28,2
3,32,31,2
3,21,33,2
3,32,22,2
3,25,29,2
3,30,25,2
3,40,34,2
3,22,34,2
3,27,33,2
3,23,27,2
3,38,39,2
3,27,26,2
3,37,36,2
3,32,26,2
3,26,23,2
3,34,33,2
3,29,26,2
3,33,39,2
3,31,25,2
3,29,40,2
3,34,40,2
3,33,24,2
3,40,29,2
3,25,39,2
3,33,35,2
3,38,32,2
3,32,38,2
3,40,34,2
3,31,30,2
3,27,22,2
3,40,36,2
3,34,25,2
3,34,26,2
3,35,25,2
3,33,24,2
3,39,37,2
3,39,24,2
3,34,21,2
3,25,21,2
3,29,27,2
3,30,38,2
3,22,38,2
3,38,29,2
3,40,24,2
3,29,29,2
3,31,21,2
3,23,22,2
3,34,22,2
3,40,27,2
3,27,22,2
3,34,36,2
3,25,30,2
3,26,22,2
3,31,33,2
3,27,28,2
3,25,30,2
3,38,36,2
3,37,34,2
3,22,25,2
3,24,29,2
3,35,35,2
3,30,30,2
3,21,28,2
3,29,30,2
3,32,27,2
3,23,27,2
3,37,27,2
3,24,37,2
3,32,30,2
3,36,29,2
3,32,40,2
3,25,27,2
3,24,31,2
3,34,36,2
3,30,21,2
3,30,31,2
3,36,38,2
3,34,29,2
3,37,24,2
3,28,21,2
3,23,30,2
3,35,25,2
3,32,23,2
3,37,39,2
3,32,31,2
3,40,29,2
3,35,27,2
3,28,21,2
3,31,25,2
3,25,27,2
3,40,23,2
3,31,23,2
3,27,29,2
3,21,36,2
3,36,35,2
3,25,22,2
3,21,24,2
3,22,37,2
3,27,38,2
3,22,38,2
3,37,30,2
3,21,31,2
3,23,40,2
3,26,33,2
3,40,36,2
3,24,33,2
3,33,27,2
3,28,36,2
3,25,40,2
3,24,25,2
3,23,33,2
3,39,36,2
3,34,22,2
3,40,21,2
3,21,24,2
3,28,35,2
3,25,30,2
3,23,40,2
3,27,36,2
3,38,21,2
3,24,37,2
3,24,24,2
3,29,25,2
3,32,37,2
3,21,24,2
3,40,37,2
3,32,27,2
3,29,29,2
3,22,39,2
3,38,37,2
3,32,28,2
3,29,22,2
3,29,35,2
3,21,24,2
3,37,39,2
3,28,36,2
3,23,28,2
3,22,24,2
3,35,33,2
3,23,33,2
3,38,25,2
3,40,36,2
3,40,28,2
3,29,38,2
3,40,33,2
3,35,23,2
3,39,29,2
3,39,40,2
3,27,26,2
3,21,39,2
3,25,27,2
3,25,40,2
3,23,24,2
3,29,21,2
3,21,22,2
3,22,21,2
3,23,29,2
3,40,21,2
3,27,37,2
3,31,29,2
3,26,30,2
3,35,24,2
3,34,40,2
3,21,26,2
3,27,35,2
3,37,34,2
3,40,39,2
3,29,33,2
3,30,32,2
3,40,32,2
3,29,22,2
3,23,37,2
3,39,39,2
3,21,30,2
3,22,30,2
3,38,33,2
3,25,36,2
3,36,32,2
3,25,22,2
3,33,27,2
3,27,26,2
3,31,37,2
3,27,39,2
3,24,39,2
3,23,35,2
3,28,34,2
3,30,22,2
3,36,23,2
3,24,21,2
3,36,28,2
3,40,27,2
3,39,21,2
3,38,32,2
3,23,22,2
3,26,34,2
3,39,30,2
3,30,36,2
3,26,37,2
3,31,40,2
3,36,39,2
3,21,24,2
3,26,25,2
3,24,38,2
3,34,32,2
3,23,22,2
3,37,33,2
3,36,38,2
3,24,22,2
3,21,26,2
3,33,27,2
3,32,31,2
3,39,32,2
3,33,33,2
3,32,22,2
3,24,39,2
3,34,40,2
3,32,37,2
3,38,23,2
3,26,23,2
3,25,33,2
3,30,25,2
3,35,23,2
3,26,24,2
3,29,36,2
3,35,36,2
3,32,34,2
3,39,33,2
3,39,33,2
3,30,29,2
3,33,24,2
3,34,38,2
3,25,23,2
3,27,38,2
3,31,24,2
3,31,36,2
3,25,33,2
3,28,27,2
3,35,40,2
3,26,33,2
3,38,38,2
3,37,32,2
3,35,24,2
3,39,26,2
3,25,34,2
3,26,33,2
3,35,30,2
3,27,37,2
3,22,37,2
3,25,32,2
3,38,37,2
3,28,21,2
3,27,35,2
3,32,36,2
3,33,40,2
3,33,23,2
3,28,25,2
3,40,21,2
3,40,21,2
3,32,24,2
3,28,28,2
3,21,24,2
3,34,29,2
3,37,33,2
3,34,34,2
3,28,33,2
3,21,39,2
3,37,40,2
3,23,23,2
3,34,32,2
3,25,31,2
3,24,33,2
3,35,31,2
3,26,33,2
3,30,28,2
3,24,39,2
3,22,35,2
3,33,36,2
3,39,38,2
3,31,37,2
3,39,39,2
3,27,24,2
3,28,34,2
3,23,23,2
3,33,33,2
3,30,24,2
3,36,32,2
3,39,27,2
3,31,38,2
3,37,36,2
3,32,39,2
3,35,38,2
3,27,21,2
3,31,23,2
3,37,23,2
3,21,39,2
3,36,22,2
3,24,24,2
3,34,35,2
3,37,23,2
3,32,35,2
3,40,28,2
3,26,39,2
3,21,38,2
3,25,36,2
3,25,35,2
3,23,32,2
3,40,36,2
3,37,30,2
3,30,33,2
3,24,35,2
3,39,25,2
3,21,40,2
3,30,33,2
3,34,21,2
3,29,24,2
3,30,39,2
3,22,35,2
3,34,34,2
3,39,34,2
3,35,25,2
3,31,29,2
3,24,38,2
3,29,26,2
3,33,22,2
3,35,32,2
3,31,36,2
3,34,27,2
3,26,36,2
3,38,23,2
3,38,28,2
3,33,37,2
3,22,29,2
3,24,40,2
3,35,24,2
3,35,21,2
3,33,21,2
3,29,29,2
3,38,34,2
3,38,27,2
3,34,28,2
3,26,24,2
3,26,36,2
3,30,29,2
3,36,39,2
3,24,35,2
3,22,33,2
3,31,33,2
3,40,39,2
3,26,32,2
3,21,37,2
3,23,36,2
3,39,22,2
3,24,37,2
3,26,38,2
3,39,21,2
3,33,31,2
3,28,21,2
3,30,38,2
3,30,36,2
3,28,38,2
3,26,21,2
3,37,24,2
3,32,30,2
3,31,23,2
3,26,27,2
3,32,22,2
3,31,21,2
3,29,27,2
3,22,32,2
3,34,27,2
3,31,34,2
3,24,22,2
3,34,39,2
3,36,26,2
3,30,24,2
3,33,34,2
3,22,38,2
3,21,31,2
3,23,30,2
3,40,21,2
3,31,30,2
3,22,29,2
3,23,36,2
3,32,23,2
3,24,32,2
3,30,31,2
3,33,32,2
3,34,22,2
3,22,40,2
3,37,29,2
3,40,31,2
3,28,24,2
3,28,25,2
3,30,39,2
3,38,39,2
3,22,21,2
3,32,30,2
3,29,26,2
3,21,32,2
3,39,35,2
3,35,24,2
3,26,32,2
3,32,39,2
3,27,23,2
3,26,29,2
3,24,25,2
3,21,35,2
3,23,40,2
3,38,26,2
3,31,22,2
3,39,34,2
3,30,35,2
3,38,35,2
3,31,31,2
3,40,24,2
3,38,32,2
3,34,33,2
3,33,40,2
3,33,25,2
3,40,30,2
3,25,34,2
3,37,21,2
3,37,36,2
3,40,32,2
3,36,37,2
3,25,31,2
3,28,40,2
3,37,28,2
3,33,32,2
3,33,24,2
3,30,31,2
3,22,29,2
3,36,23,2
3,22,23,2
3,32,26,2
