knowledge_approval,knowledge_reliability,knowledge_accuracy,knowledge_quality
28,30,24,2
18,25,22,2
14,18,28,2
22,14,12,2
11,19,17,2
25,18,21,2
12,26,30,2
22,27,26,2
13,30,21,2
30,12,20,2
15,13,19,2
11,23,15,2
25,24,27,2
12,24,30,2
17,14,29,2
16,20,26,2
29,28,25,2
28,29,12,2
12,11,24,2
21,12,28,2
14,16,19,2
26,24,19,2
21,24,29,2
24,22,22,2
18,11,19,2
17,18,19,2
14,19,20,2
20,13,15,2
12,28,24,2
16,11,18,2
25,21,17,2
23,12,17,2
27,28,30,2
26,26,20,2
21,11,28,2
19,17,17,2
20,30,24,2
18,28,19,2
30,13,14,2
28,18,25,2
29,23,15,2
27,16,23,2
26,13,13,2
24,14,26,2
29,21,15,2
24,18,19,2
22,15,21,2
29,27,24,2
28,28,24,2
30,21,18,2
27,15,13,2
13,24,17,2
18,24,14,2
21,13,19,2
29,29,26,2
28,16,11,2
22,21,29,2
27,22,20,2
22,27,29,2
21,12,27,2
22,26,13,2
24,26,27,2
25,23,14,2
17,12,15,2
30,17,30,2
15,15,13,2
26,17,11,2
28,28,27,2
13,22,13,2
23,11,24,2
25,13,29,2
26,25,24,2
27,28,29,2
27,27,13,2
24,16,29,2
13,18,15,2
22,18,22,2
30,15,16,2
14,28,12,2
21,20,23,2
18,22,12,2
19,25,13,2
30,20,20,2
20,18,24,2
24,30,13,2
16,15,24,2
25,27,23,2
22,18,30,2
13,22,12,2
25,14,18,2
13,24,28,2
19,17,14,2
19,27,24,2
25,12,16,2
12,25,22,2
15,20,29,2
23,25,25,2
22,28,11,2
19,14,17,2
25,24,14,2
14,12,24,2
17,22,11,2
16,26,19,2
18,18,11,2
14,22,16,2
25,29,11,2
28,20,23,2
23,11,12,2
22,11,27,2
25,19,25,2
27,15,22,2
12,28,13,2
19,12,16,2
16,16,26,2
14,17,24,2
25,13,12,2
22,22,23,2
19,11,16,2
28,27,27,2
18,17,18,2
22,16,18,2
16,14,24,2
26,23,22,2
30,19,28,2
26,13,14,2
12,29,14,2
14,17,14,2
14,24,29,2
30,13,27,2
23,27,19,2
19,24,28,2
11,14,22,2
24,16,29,2
13,23,14,2
18,16,16,2
13,30,14,2
26,25,21,2
24,22,14,2
25,16,13,2
15,26,13,2
23,22,13,2
28,21,17,2
19,12,24,2
14,21,20,2
22,26,15,2
24,28,27,2
15,30,23,2
22,12,18,2
22,17,26,2
23,26,11,2
22,24,12,2
27,26,20,2
16,28,18,2
28,16,11,2
24,13,15,2
16,13,20,2
28,22,13,2
16,19,25,2
