Knowledge_Approval,Knowledge_Accuracy,Knowledge_Quality
1,26,2
1,28,2
1,38,2
1,39,2
1,27,2
1,35,2
1,33,2
1,21,2
1,25,2
1,40,2
1,23,2
1,22,2
1,35,2
1,32,2
1,26,2
1,39,2
1,31,2
1,34,2
1,27,2
1,30,2
1,23,2
1,32,2
1,22,2
1,36,2
1,31,2
1,31,2
1,28,2
1,31,2
1,38,2
1,39,2
1,30,2
1,31,2
1,23,2
1,37,2
1,27,2
1,30,2
1,33,2
1,26,2
1,21,2
1,24,2
1,36,2
1,23,2
1,24,2
1,31,2
1,23,2
1,34,2
1,37,2
1,37,2
1,24,2
1,26,2
1,24,2
1,26,2
1,30,2
1,23,2
1,26,2
1,40,2
1,28,2
1,25,2
1,38,2
1,23,2
1,33,2
1,24,2
1,26,2
1,23,2
1,34,2
1,21,2
1,40,2
1,21,2
1,33,2
1,38,2
1,34,2
1,27,2
1,39,2
1,27,2
1,37,2
1,31,2
1,37,2
1,21,2
1,29,2
1,31,2
1,29,2
1,22,2
1,39,2
1,33,2
1,34,2
1,40,2
1,28,2
1,30,2
1,37,2
1,38,2
1,27,2
1,34,2
1,32,2
1,26,2
1,23,2
1,30,2
1,24,2
1,28,2
1,31,2
1,39,2
1,28,2
1,33,2
1,31,2
1,39,2
1,36,2
1,31,2
1,36,2
1,37,2
1,40,2
1,39,2
1,23,2
1,39,2
1,21,2
1,32,2
1,31,2
1,37,2
1,33,2
1,40,2
1,32,2
1,35,2
1,40,2
1,35,2
1,32,2
1,25,2
1,28,2
1,36,2
1,25,2
1,26,2
1,25,2
1,38,2
1,34,2
1,37,2
1,29,2
1,37,2
1,37,2
1,29,2
1,24,2
1,30,2
1,22,2
1,30,2
1,30,2
1,38,2
1,27,2
1,21,2
1,36,2
1,27,2
1,37,2
1,38,2
1,21,2
1,27,2
1,31,2
1,25,2
1,34,2
1,40,2
1,26,2
1,36,2
1,39,2
1,21,2
1,21,2
1,38,2
1,35,2
1,35,2
1,28,2
1,35,2
1,22,2
1,27,2
1,31,2
1,34,2
1,25,2
1,39,2
1,39,2
1,29,2
1,23,2
1,26,2
1,28,2
1,39,2
1,39,2
1,38,2
1,34,2
1,38,2
1,38,2
1,33,2
1,22,2
1,36,2
1,33,2
1,38,2
1,39,2
1,27,2
1,30,2
1,35,2
1,22,2
1,32,2
1,29,2
1,36,2
1,30,2
1,26,2
1,28,2
1,24,2
1,30,2
1,23,2
1,23,2
1,35,2
1,21,2
1,38,2
1,40,2
1,37,2
1,34,2
1,35,2
1,40,2
1,21,2
1,25,2
1,28,2
1,28,2
1,29,2
1,26,2
1,28,2
1,38,2
1,29,2
1,25,2
1,36,2
1,39,2
1,29,2
1,28,2
1,32,2
1,32,2
1,38,2
1,34,2
1,21,2
1,31,2
1,26,2
1,22,2
1,38,2
1,23,2
1,38,2
1,33,2
1,31,2
1,40,2
1,25,2
1,28,2
1,29,2
1,38,2
1,21,2
1,37,2
1,34,2
1,32,2
1,23,2
1,24,2
1,39,2
1,25,2
1,22,2
1,36,2
1,29,2
1,28,2
1,26,2
1,31,2
1,26,2
1,21,2
1,23,2
1,26,2
1,40,2
1,34,2
1,33,2
1,39,2
1,40,2
1,37,2
1,23,2
1,40,2
1,22,2
1,25,2
1,40,2
1,30,2
1,39,2
1,36,2
1,27,2
1,36,2
1,35,2
1,29,2
1,30,2
1,23,2
1,28,2
1,28,2
1,38,2
1,37,2
1,38,2
1,25,2
1,38,2
1,34,2
1,26,2
1,35,2
1,40,2
1,35,2
1,28,2
1,26,2
1,36,2
1,40,2
1,29,2
1,35,2
1,22,2
1,27,2
1,25,2
1,35,2
1,23,2
1,26,2
1,26,2
1,25,2
1,35,2
1,30,2
1,21,2
1,25,2
1,26,2
1,32,2
1,33,2
1,30,2
1,35,2
1,26,2
1,35,2
1,36,2
1,25,2
1,28,2
1,33,2
1,32,2
1,33,2
1,39,2
1,37,2
1,29,2
1,31,2
1,32,2
1,32,2
1,28,2
1,37,2
1,34,2
1,39,2
1,23,2
1,29,2
1,34,2
1,27,2
1,34,2
1,22,2
1,22,2
1,33,2
1,21,2
1,39,2
1,34,2
1,38,2
1,40,2
1,22,2
1,25,2
1,31,2
1,21,2
1,22,2
1,25,2
1,24,2
1,35,2
1,24,2
1,35,2
1,26,2
1,23,2
1,24,2
1,38,2
1,25,2
1,39,2
1,26,2
1,40,2
1,29,2
1,26,2
1,36,2
1,21,2
1,31,2
1,33,2
1,22,2
1,30,2
1,26,2
1,37,2
1,39,2
1,32,2
1,23,2
1,29,2
1,22,2
1,27,2
1,31,2
1,25,2
1,40,2
1,35,2
1,23,2
1,38,2
1,28,2
1,36,2
1,22,2
1,35,2
1,32,2
1,26,2
1,28,2
1,38,2
1,24,2
1,21,2
1,27,2
1,35,2
1,27,2
1,40,2
1,24,2
1,39,2
1,25,2
1,35,2
1,39,2
1,27,2
1,31,2
1,29,2
1,35,2
1,28,2
1,29,2
1,25,2
1,38,2
1,40,2
1,21,2
1,22,2
1,27,2
1,32,2
1,21,2
1,30,2
1,29,2
1,28,2
1,40,2
1,31,2
1,32,2
1,40,2
1,29,2
1,21,2
1,26,2
1,36,2
1,36,2
1,37,2
1,29,2
1,37,2
1,23,2
1,35,2
1,23,2
1,35,2
1,24,2
1,40,2
1,33,2
1,22,2
1,31,2
1,38,2
1,25,2
1,37,2
1,22,2
1,39,2
1,29,2
1,32,2
1,31,2
1,32,2
1,24,2
1,31,2
1,38,2
1,38,2
1,27,2
1,38,2
1,33,2
1,34,2
1,31,2
1,31,2
1,36,2
1,36,2
1,38,2
1,40,2
1,22,2
1,22,2
1,27,2
1,21,2
1,24,2
1,37,2
1,37,2
1,33,2
1,37,2
1,33,2
1,27,2
1,21,2
1,37,2
1,24,2
1,40,2
1,23,2
1,28,2
1,34,2
1,30,2
1,22,2
1,31,2
1,36,2
1,24,2
1,29,2
1,22,2
1,23,2
1,29,2
1,39,2
1,38,2
1,37,2
1,22,2
1,35,2
1,31,2
1,35,2
1,34,2
1,33,2
1,30,2
1,30,2
1,39,2
1,38,2
1,25,2
1,34,2
1,23,2
1,34,2
1,21,2
1,28,2
1,24,2
1,29,2
1,25,2
1,24,2
1,37,2
1,27,2
1,37,2
1,38,2
1,32,2
1,37,2
1,34,2
1,30,2
1,24,2
1,34,2
1,35,2
1,34,2
1,25,2
1,37,2
1,32,2
1,25,2
1,23,2
1,38,2
1,21,2
1,34,2
1,40,2
1,25,2
1,22,2
1,34,2
1,36,2
1,39,2
1,38,2
1,24,2
1,40,2
1,36,2
1,25,2
1,31,2
1,27,2
1,28,2
1,35,2
1,22,2
1,28,2
1,31,2
1,35,2
1,26,2
1,26,2
1,21,2
1,21,2
1,35,2
1,38,2
1,27,2
1,40,2
1,38,2
1,35,2
1,33,2
1,34,2
1,29,2
1,34,2
1,23,2
1,21,2
1,31,2
1,29,2
1,33,2
1,24,2
1,23,2
1,28,2
1,35,2
1,38,2
1,27,2
1,29,2
1,37,2
1,23,2
1,37,2
1,35,2
1,30,2
1,31,2
1,35,2
1,28,2
1,25,2
1,32,2
1,31,2
1,31,2
1,29,2
1,21,2
1,35,2
1,21,2
1,21,2
1,36,2
1,37,2
1,28,2
1,30,2
1,29,2
1,30,2
1,36,2
1,21,2
1,24,2
1,35,2
1,33,2
1,22,2
1,32,2
1,24,2
1,38,2
1,40,2
1,23,2
1,31,2
1,29,2
1,23,2
1,28,2
1,36,2
1,26,2
1,36,2
1,28,2
1,24,2
1,38,2
1,25,2
1,30,2
1,25,2
1,24,2
1,21,2
1,37,2
1,40,2
1,25,2
1,22,2
1,32,2
1,39,2
1,26,2
1,36,2
1,25,2
1,24,2
1,38,2
1,28,2
1,40,2
1,25,2
1,40,2
1,23,2
1,33,2
1,31,2
1,33,2
1,31,2
1,40,2
1,38,2
1,31,2
1,28,2
1,38,2
1,22,2
1,35,2
1,38,2
1,21,2
1,39,2
1,30,2
1,26,2
1,37,2
1,32,2
1,36,2
1,35,2
1,25,2
1,30,2
1,26,2
1,30,2
1,26,2
1,27,2
1,40,2
1,34,2
1,31,2
1,28,2
1,23,2
1,33,2
1,40,2
1,33,2
