knowledge_approval,knowledge_reliability,knowledge_accuracy,knowledge_quality
30,8,25,2
11,7,29,2
22,18,24,2
25,27,16,2
26,4,2,2
19,1,17,2
17,28,12,2
18,27,26,2
0,21,27,2
12,17,13,2
24,14,0,1
17,22,19,2
14,9,26,2
13,11,27,2
7,21,6,1
25,21,5,2
2,20,24,2
1,15,28,2
28,18,8,1
4,6,0,2
24,16,9,2
17,30,22,1
18,30,17,1
28,22,11,1
4,13,19,2
11,6,0,1
7,30,8,2
0,2,25,1
3,17,1,2
25,25,5,1
28,14,15,2
0,15,4,1
4,22,8,2
6,30,19,1
21,13,14,1
9,25,10,1
7,25,1,1
18,3,28,1
7,25,20,1
17,17,15,2
2,14,8,1
30,2,30,2
20,30,10,2
16,9,22,1
12,6,11,2
12,0,1,1
24,10,24,1
30,12,16,1
24,26,28,2
11,20,6,1
12,4,28,2
4,17,13,2
26,13,0,1
9,23,25,1
13,19,10,2
22,8,10,1
10,11,9,1
10,21,16,2
14,29,27,1
3,3,26,2
20,1,5,2
24,13,28,2
24,3,1,1
3,5,4,1
21,28,2,1
21,28,21,2
9,1,27,1
26,20,10,2
25,17,4,2
7,21,30,1
15,20,6,1
1,21,30,1
28,13,23,2
21,15,14,2
23,30,4,2
22,25,25,1
2,20,19,1
0,23,4,2
6,30,14,1
24,6,27,1
0,20,26,1
2,19,21,1
19,20,1,2
7,22,19,1
2,12,15,1
10,26,12,2
10,25,10,2
12,20,17,1
8,11,24,2
15,22,15,1
25,18,9,2
21,11,26,1
23,9,2,1
20,5,14,2
25,29,29,1
14,24,22,1
26,14,6,2
3,5,23,1
27,1,19,1
12,8,28,1
19,2,20,1
4,6,6,2
22,6,17,1
11,16,13,1
29,3,22,1
29,10,20,1
21,18,27,1
5,17,7,1
11,21,7,1
22,13,18,1
23,29,2,2
21,7,30,2
5,1,28,1
21,28,20,2
12,17,17,1
0,14,5,1
14,0,5,1
17,4,28,2
26,5,9,2
4,16,5,2
21,14,29,1
28,2,16,1
6,8,10,1
24,6,18,2
9,20,0,1
23,11,9,2
12,1,10,2
28,8,14,1
2,5,23,1
17,18,15,1
25,24,20,1
20,24,1,1
5,24,13,2
26,27,25,1
4,0,13,2
29,29,3,1
27,13,8,1
13,14,13,1
22,28,20,2
28,29,4,2
10,16,13,2
18,11,23,1
15,24,8,1
23,0,14,1
24,12,28,1
18,10,27,1
29,26,23,1
23,6,18,1
21,24,29,2
4,15,23,2
25,6,14,1
3,19,28,2
26,24,5,2
22,0,1,1
14,22,15,1
14,11,10,2
19,10,21,1
2,22,11,2
23,29,16,2
12,5,25,1
11,8,5,2
3,14,28,1
28,17,13,2
22,15,24,1
15,6,26,2
3,4,2,1
21,25,22,1
19,12,22,1
8,24,28,1
1,19,22,1
9,1,20,1
11,11,3,2
19,30,0,1
25,1,0,2
13,16,15,2
2,16,19,1
27,3,5,2
5,5,5,2
30,11,21,1
23,28,30,2
21,27,23,1
18,20,13,2
4,23,14,1
29,30,23,2
4,23,5,2
16,27,11,2
17,20,29,2
17,27,25,2
27,26,23,1
19,21,12,1
5,23,10,1
17,2,2,1
30,25,0,2
11,1,13,1
27,8,25,2
15,29,21,1
18,12,30,1
20,17,3,1
10,18,27,2
21,15,29,1
24,0,11,1
20,9,25,1
22,3,1,2
11,23,30,1
15,23,23,1
3,25,28,2
20,19,2,1
5,25,4,1
22,3,3,2
17,30,14,1
18,23,8,2
29,12,7,1
7,9,13,2
1,6,16,2
7,14,1,1
13,21,27,1
30,0,27,2
29,13,27,1
23,18,1,2
8,29,24,1
26,19,29,2
21,26,14,2
23,21,4,1
6,19,27,1
12,29,20,2
8,5,11,1
22,3,9,2
24,30,24,1
25,28,29,2
24,29,26,1
8,5,24,2
22,5,19,2
16,13,21,1
9,10,5,2
12,27,0,1
10,19,29,1
29,29,20,1
1,17,12,2
6,1,20,1
26,17,28,1
12,6,11,2
3,1,22,1
19,15,12,1
2,19,11,2
27,29,19,2
14,5,1,1
26,14,25,2
8,4,15,1
29,16,8,1
2,28,0,2
10,26,12,2
20,18,12,1
24,10,18,1
11,18,24,2
19,24,21,1
16,22,28,2
3,11,23,1
27,3,20,2
14,7,17,1
24,23,4,2
10,7,9,1
9,10,20,1
1,21,12,1
3,1,21,2
4,15,15,1
11,16,14,2
4,29,23,2
4,15,30,2
16,21,11,2
7,11,20,2
27,28,15,2
18,29,4,2
2,26,21,2
17,4,26,1
12,13,7,1
20,2,28,2
21,3,7,1
13,13,26,1
12,19,10,1
28,11,6,1
29,30,23,2
10,15,23,2
18,6,24,2
27,4,24,1
5,25,28,1
4,20,20,2
4,27,9,1
27,26,20,2
6,16,20,1
2,30,17,2
9,11,26,1
18,6,12,2
6,11,0,2
26,25,6,1
6,5,26,1
18,1,14,1
17,18,21,2
30,2,9,1
19,30,21,1
21,28,11,2
3,1,20,1
20,21,10,2
11,20,7,2
13,18,28,2
11,2,18,1
30,2,11,2
8,19,28,2
1,6,4,1
7,29,0,2
13,23,28,1
19,21,15,1
24,25,5,2
11,8,21,2
29,15,10,2
20,0,27,1
9,13,28,1
6,25,16,1
15,17,28,1
13,3,26,1
24,17,1,2
2,25,17,2
4,15,20,1
22,16,26,2
4,17,4,1
17,2,0,2
26,12,26,2
8,20,25,2
19,3,14,2
6,9,29,2
17,4,22,2
20,1,27,2
29,29,9,2
30,24,20,1
2,27,0,1
23,13,2,2
6,3,18,2
11,1,18,1
10,0,10,2
5,9,3,1
16,18,6,2
0,27,28,2
4,12,8,1
9,1,7,2
13,21,6,1
15,21,13,2
25,30,2,1
10,30,27,1
16,11,18,1
26,7,4,1
24,13,1,2
26,2,18,2
24,17,30,1
1,15,0,2
5,3,13,2
11,2,5,2
13,10,27,1
17,14,30,2
25,11,20,2
17,27,21,1
27,24,23,2
16,22,0,1
6,29,30,1
26,14,13,2
14,20,22,2
7,25,19,2
20,28,20,2
14,28,25,2
11,5,16,2
18,26,12,1
29,12,21,2
8,15,25,1
19,29,9,1
18,16,11,1
26,27,5,2
29,6,19,2
27,5,16,2
24,11,20,2
29,23,23,1
17,24,15,2
15,3,10,1
16,1,8,1
29,24,10,2
25,6,2,1
3,7,21,2
4,23,11,2
11,1,10,2
0,25,7,1
9,19,11,2
19,9,10,2
17,26,7,2
21,0,6,1
30,22,25,1
28,23,28,2
10,28,11,2
30,8,1,2
0,3,23,1
16,22,4,1
25,1,1,1
23,29,8,1
9,25,19,2
18,17,2,1
