knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_quality
3,18,29,2
3,25,22,2
3,27,30,2
3,17,26,2
3,25,23,2
3,12,21,2
3,30,29,2
3,20,20,2
3,28,20,2
3,30,25,2
3,20,13,2
3,20,29,2
3,20,25,2
3,15,22,2
3,21,21,2
3,18,25,2
3,18,11,2
3,18,21,2
3,22,13,2
3,16,17,2
3,16,16,2
3,25,29,2
3,28,15,2
3,14,30,2
3,19,27,2
3,23,17,2
3,13,20,2
3,14,18,2
3,17,13,2
3,26,25,2
3,29,30,2
3,14,30,2
3,16,25,2
3,25,14,2
3,15,18,2
3,15,22,2
3,11,14,2
3,26,14,2
3,11,24,2
3,23,19,2
3,22,26,2
3,23,19,2
3,14,23,2
3,13,30,2
3,17,17,2
3,28,22,2
3,18,29,2
3,28,12,2
3,13,18,2
3,15,24,2
3,23,13,2
3,19,11,2
3,12,18,2
3,23,22,2
3,24,11,2
3,13,28,2
3,19,30,2
3,19,20,2
3,21,16,2
3,15,18,2
3,25,22,2
3,24,20,2
3,11,28,2
3,16,14,2
3,25,30,2
3,13,17,2
3,14,24,2
3,18,20,2
3,12,15,2
3,16,16,2
3,11,27,2
3,12,30,2
3,20,16,2
3,11,17,2
3,27,12,2
3,13,13,2
3,26,22,2
3,26,11,2
3,30,24,2
3,28,18,2
3,12,16,2
3,15,13,2
3,24,12,2
3,13,16,2
3,15,28,2
3,12,17,2
3,30,16,2
3,13,23,2
3,12,28,2
3,21,23,2
3,16,13,2
3,14,29,2
3,19,13,2
3,28,27,2
3,26,17,2
3,25,15,2
3,22,29,2
3,19,12,2
3,20,14,2
3,20,21,2
3,11,19,2
3,23,15,2
3,21,15,2
3,26,15,2
3,18,20,2
3,29,18,2
3,12,11,2
3,18,12,2
3,14,28,2
3,28,30,2
3,26,20,2
3,17,21,2
3,14,15,2
3,14,28,2
3,23,14,2
3,29,20,2
3,28,17,2
3,28,14,2
3,26,24,2
3,20,30,2
3,13,23,2
3,26,28,2
3,30,21,2
3,20,23,2
3,28,12,2
3,13,15,2
3,24,16,2
3,25,17,2
3,17,27,2
3,16,23,2
3,18,26,2
3,11,17,2
3,24,11,2
3,25,20,2
3,21,14,2
3,30,29,2
3,28,21,2
3,21,19,2
3,18,23,2
3,20,16,2
3,28,30,2
3,13,11,2
3,27,24,2
3,25,25,2
3,30,27,2
3,27,23,2
3,22,11,2
3,19,14,2
3,11,29,2
3,21,17,2
3,16,12,2
3,16,29,2
3,30,17,2
3,17,21,2
3,28,21,2
3,28,11,2
3,22,28,2
3,30,25,2
3,21,26,2
3,11,14,2
3,27,23,2
3,19,12,2
3,23,25,2
3,25,26,2
3,11,22,2
3,26,21,2
3,19,17,2
3,22,17,2
3,12,24,2
3,13,30,2
3,17,11,2
3,29,22,2
3,15,16,2
3,16,26,2
3,24,21,2
3,21,14,2
3,11,17,2
3,30,21,2
3,22,29,2
3,12,14,2
3,13,23,2
3,14,21,2
3,29,22,2
3,29,13,2
3,29,12,2
3,20,19,2
3,30,28,2
3,14,18,2
3,25,11,2
3,27,12,2
3,16,17,2
3,15,15,2
3,23,25,2
3,20,30,2
3,30,15,2
3,12,24,2
3,20,22,2
3,20,23,2
3,28,14,2
3,15,19,2
3,17,19,2
3,25,14,2
3,28,22,2
3,21,15,2
3,28,27,2
3,16,28,2
3,17,18,2
3,12,18,2
3,14,16,2
3,30,23,2
3,18,25,2
3,12,29,2
3,14,18,2
3,29,12,2
3,16,18,2
3,29,16,2
3,30,17,2
3,20,14,2
3,19,27,2
3,30,27,2
3,12,29,2
3,25,24,2
3,20,21,2
3,11,18,2
3,18,25,2
3,27,25,2
3,26,23,2
3,25,30,2
3,28,16,2
3,17,28,2
3,30,28,2
3,26,21,2
3,18,19,2
3,29,19,2
3,11,18,2
3,25,19,2
3,23,16,2
3,18,19,2
3,23,16,2
3,16,14,2
3,30,17,2
3,19,20,2
3,16,22,2
3,14,26,2
3,28,16,2
3,15,26,2
3,14,11,2
3,12,27,2
3,17,17,2
3,17,21,2
3,24,25,2
3,11,22,2
3,17,26,2
3,11,30,2
3,15,27,2
3,13,14,2
3,16,25,2
3,28,27,2
3,17,26,2
3,17,20,2
3,22,26,2
3,26,15,2
3,27,30,2
3,13,14,2
3,26,27,2
3,19,25,2
3,15,26,2
3,12,18,2
3,28,18,2
3,28,27,2
3,11,23,2
3,15,25,2
3,26,18,2
3,25,13,2
3,13,15,2
3,13,28,2
3,11,16,2
3,11,24,2
3,30,27,2
3,13,17,2
3,14,22,2
3,26,22,2
3,17,21,2
3,22,26,2
3,25,24,2
3,20,16,2
3,19,25,2
3,20,24,2
3,30,22,2
3,15,26,2
3,16,24,2
3,28,14,2
3,14,14,2
3,27,21,2
3,17,28,2
3,27,17,2
3,27,17,2
3,30,12,2
3,13,19,2
3,24,13,2
3,28,25,2
3,14,30,2
3,21,30,2
3,19,20,2
3,12,30,2
3,26,17,2
3,17,30,2
3,11,23,2
3,16,11,2
3,22,13,2
3,13,23,2
3,27,24,2
3,18,29,2
3,30,25,2
3,21,19,2
3,19,22,2
3,20,28,2
3,29,28,2
3,18,11,2
3,28,11,2
3,14,16,2
3,11,27,2
3,13,22,2
3,14,28,2
3,29,14,2
3,23,13,2
3,28,16,2
3,25,12,2
3,12,24,2
3,25,15,2
3,14,12,2
3,19,28,2
3,20,18,2
3,12,28,2
3,15,24,2
3,26,24,2
3,23,30,2
3,13,16,2
3,12,27,2
3,29,15,2
3,19,28,2
3,11,27,2
3,18,25,2
3,19,15,2
3,20,17,2
3,21,12,2
3,13,26,2
3,22,27,2
3,26,30,2
3,21,17,2
3,19,12,2
3,29,25,2
3,24,17,2
3,24,11,2
3,21,15,2
3,28,21,2
3,28,24,2
3,30,19,2
3,12,18,2
3,29,16,2
3,13,22,2
3,22,16,2
3,30,27,2
3,20,27,2
3,25,18,2
3,23,17,2
3,18,17,2
3,17,16,2
3,18,23,2
3,24,23,2
3,21,23,2
3,18,22,2
3,28,17,2
3,14,11,2
3,27,13,2
3,21,22,2
3,18,20,2
3,12,26,2
3,11,12,2
3,15,15,2
3,21,17,2
3,12,20,2
3,27,22,2
3,28,13,2
3,27,29,2
3,19,20,2
3,20,23,2
3,11,29,2
3,24,16,2
3,25,14,2
3,27,25,2
3,16,15,2
3,20,21,2
3,11,20,2
3,15,26,2
3,28,15,2
3,15,17,2
3,22,23,2
3,20,25,2
3,20,19,2
3,14,11,2
3,19,16,2
3,30,11,2
3,26,27,2
3,16,21,2
3,17,26,2
3,30,16,2
3,18,28,2
3,29,13,2
3,15,13,2
3,21,18,2
3,23,21,2
3,21,11,2
3,20,21,2
3,22,19,2
3,23,15,2
3,11,13,2
3,12,19,2
3,16,13,2
3,13,12,2
3,12,12,2
3,21,27,2
3,22,22,2
3,13,22,2
3,24,26,2
3,13,11,2
3,19,16,2
3,14,19,2
3,19,13,2
3,30,19,2
3,24,30,2
3,18,29,2
3,25,24,2
3,26,30,2
3,23,29,2
3,29,12,2
3,16,28,2
3,15,29,2
3,18,28,2
3,25,13,2
3,24,30,2
3,27,16,2
3,29,25,2
3,27,26,2
3,26,15,2
3,22,26,2
3,20,16,2
3,16,30,2
3,23,12,2
3,27,30,2
3,28,11,2
3,15,11,2
3,24,24,2
3,28,14,2
3,22,23,2
3,23,18,2
3,17,16,2
3,16,19,2
3,30,25,2
3,28,22,2
3,12,16,2
3,20,27,2
3,24,25,2
3,25,15,2
3,16,13,2
3,21,21,2
3,17,14,2
3,13,11,2
3,18,26,2
3,28,18,2
3,21,20,2
3,20,28,2
3,22,21,2
3,27,11,2
3,25,12,2
3,30,28,2
3,24,12,2
3,20,29,2
3,16,21,2
3,14,16,2
3,16,27,2
3,16,27,2
3,24,16,2
3,26,14,2
3,13,25,2
3,26,27,2
3,13,19,2
3,22,12,2
3,22,18,2
3,27,20,2
3,20,28,2
3,17,17,2
3,23,28,2
3,25,14,2
3,19,30,2
3,22,26,2
3,29,11,2
3,19,25,2
3,12,23,2
3,28,29,2
3,29,29,2
3,24,29,2
3,29,22,2
3,14,16,2
3,23,23,2
3,15,25,2
3,27,28,2
3,13,22,2
3,16,21,2
3,15,17,2
3,26,15,2
3,17,24,2
3,17,23,2
3,12,27,2
3,15,21,2
3,17,28,2
3,13,15,2
3,18,30,2
3,15,20,2
3,16,30,2
3,26,13,2
3,13,22,2
3,17,13,2
3,16,30,2
3,24,21,2
3,28,24,2
3,19,23,2
3,27,24,2
3,28,15,2
3,30,14,2
3,18,27,2
3,27,29,2
3,26,24,2
3,30,13,2
3,18,24,2
3,22,17,2
3,15,28,2
3,20,21,2
3,29,11,2
3,15,22,2
3,25,14,2
3,13,15,2
3,19,16,2
3,12,20,2
3,22,14,2
3,11,20,2
3,26,12,2
3,20,25,2
3,22,23,2
3,15,19,2
3,26,15,2
3,22,23,2
3,19,26,2
3,16,23,2
3,15,23,2
3,21,28,2
3,25,28,2
3,21,22,2
3,18,19,2
3,19,27,2
3,13,17,2
3,29,12,2
3,27,11,2
3,16,21,2
3,18,29,2
3,14,23,2
3,12,22,2
3,19,22,2
3,30,30,2
3,29,11,2
3,11,16,2
3,18,17,2
3,19,11,2
3,16,19,2
3,21,19,2
3,25,13,2
3,28,12,2
3,14,28,2
3,26,29,2
3,27,19,2
3,30,29,2
3,14,27,2
3,26,14,2
3,13,25,2
3,18,13,2
3,25,22,2
3,22,22,2
3,21,27,2
3,26,21,2
3,14,16,2
3,16,23,2
3,12,22,2
3,23,17,2
3,14,13,2
3,17,18,2
3,19,30,2
3,25,25,2
3,18,27,2
3,11,14,2
3,20,26,2
3,24,11,2
3,14,20,2
3,13,16,2
3,17,11,2
3,22,30,2
3,13,23,2
3,15,21,2
3,26,20,2
3,14,26,2
3,28,17,2
3,23,24,2
3,17,15,2
3,28,30,2
3,26,27,2
3,11,19,2
3,28,13,2
3,28,17,2
3,18,16,2
3,14,20,2
3,24,11,2
3,21,26,2
3,30,15,2
3,22,25,2
3,18,30,2
3,27,15,2
3,28,23,2
3,29,14,2
3,14,23,2
3,15,14,2
3,11,21,2
3,15,15,2
3,16,27,2
3,11,21,2
3,24,12,2
3,25,21,2
3,19,30,2
3,11,11,2
3,28,30,2
3,27,30,2
3,11,27,2
3,27,13,2
3,22,20,2
3,23,28,2
3,14,22,2
3,17,24,2
3,30,17,2
3,12,19,2
3,16,16,2
3,25,22,2
3,17,22,2
3,13,22,2
3,16,14,2
3,19,30,2
3,23,22,2
3,18,27,2
3,11,19,2
3,16,11,2
3,18,24,2
3,25,29,2
3,16,16,2
3,30,24,2
3,29,17,2
3,27,24,2
3,20,27,2
3,29,25,2
3,23,14,2
3,25,24,2
3,14,17,2
3,19,30,2
3,25,23,2
3,15,27,2
3,22,24,2
3,12,25,2
3,26,23,2
3,13,22,2
3,18,25,2
3,27,19,2
3,28,19,2
3,29,23,2
3,30,11,2
3,24,26,2
3,12,14,2
3,17,24,2
3,30,23,2
3,19,20,2
3,19,11,2
3,21,21,2
3,18,17,2
3,23,23,2
3,17,28,2
3,27,12,2
3,19,15,2
3,11,21,2
3,28,25,2
3,12,22,2
3,19,22,2
3,25,23,2
3,14,19,2
3,18,28,2
3,30,21,2
3,19,26,2
3,19,26,2
3,22,11,2
3,11,11,2
3,30,13,2
3,30,12,2
3,12,20,2
3,30,20,2
3,28,22,2
3,24,11,2
3,11,11,2
3,30,20,2
3,27,26,2
3,29,28,2
3,23,28,2
3,22,15,2
3,15,27,2
3,20,19,2
3,21,26,2
3,28,27,2
3,26,29,2
3,17,24,2
3,24,23,2
3,11,11,2
3,21,12,2
3,23,16,2
3,13,11,2
3,12,28,2
3,14,24,2
3,15,16,2
3,20,27,2
3,22,17,2
3,17,19,2
3,13,30,2
3,22,15,2
3,19,26,2
3,28,11,2
3,17,26,2
3,30,20,2
3,12,15,2
3,28,29,2
3,17,11,2
3,19,20,2
3,14,16,2
3,16,19,2
3,14,12,2
3,13,20,2
3,17,15,2
3,24,13,2
3,24,20,2
3,22,19,2
3,13,26,2
3,28,16,2
3,30,29,2
3,11,19,2
3,24,17,2
3,30,21,2
3,15,17,2
3,11,16,2
3,22,13,2
3,25,23,2
3,27,30,2
3,24,18,2
3,17,23,2
3,29,22,2
3,16,19,2
3,11,16,2
3,23,18,2
3,27,16,2
3,17,18,2
3,26,27,2
3,14,23,2
3,13,19,2
3,24,17,2
3,15,19,2
3,14,29,2
3,13,19,2
3,25,17,2
3,22,20,2
3,14,19,2
3,16,28,2
3,22,13,2
3,11,14,2
3,24,29,2
3,14,15,2
3,20,22,2
3,19,26,2
3,28,14,2
3,21,28,2
3,11,27,2
3,27,22,2
3,12,19,2
3,27,18,2
3,26,12,2
3,12,23,2
3,12,30,2
3,29,28,2
3,13,19,2
3,30,20,2
3,30,20,2
3,30,15,2
3,16,17,2
3,27,27,2
3,30,27,2
3,28,28,2
3,19,14,2
3,29,26,2
3,11,23,2
3,19,29,2
3,11,23,2
3,26,13,2
3,16,27,2
3,24,24,2
3,27,15,2
3,12,28,2
3,28,19,2
3,18,20,2
3,25,21,2
3,22,20,2
3,22,28,2
3,26,16,2
3,17,30,2
3,30,30,2
3,12,28,2
3,14,13,2
3,27,16,2
3,17,27,2
3,20,16,2
3,15,26,2
3,13,29,2
3,27,22,2
3,21,20,2
3,13,17,2
3,13,14,2
3,17,16,2
3,21,27,2
3,11,24,2
3,22,16,2
3,13,23,2
3,26,14,2
3,19,20,2
3,30,14,2
3,21,24,2
3,18,29,2
3,20,22,2
3,26,15,2
3,21,12,2
3,25,20,2
3,22,19,2
3,16,11,2
3,30,27,2
3,22,23,2
3,22,27,2
3,12,25,2
3,24,15,2
3,20,17,2
3,26,19,2
3,11,30,2
3,14,18,2
3,20,19,2
3,30,19,2
3,15,21,2
3,23,12,2
3,22,14,2
3,15,14,2
3,19,12,2
3,11,28,2
3,19,22,2
3,14,14,2
3,21,15,2
3,14,24,2
3,29,21,2
3,17,16,2
3,27,25,2
3,25,16,2
3,27,17,2
3,29,29,2
3,12,27,2
3,25,13,2
3,22,12,2
3,21,23,2
3,29,29,2
3,19,18,2
3,19,26,2
3,17,27,2
3,27,29,2
3,14,11,2
3,23,28,2
3,17,16,2
3,15,17,2
3,14,21,2
3,30,20,2
3,18,17,2
3,28,18,2
3,27,28,2
3,19,23,2
3,23,28,2
3,26,22,2
3,23,15,2
3,30,19,2
3,22,29,2
3,18,15,2
3,13,19,2
3,26,25,2
3,28,23,2
3,14,17,2
3,30,23,2
3,22,21,2
3,12,17,2
3,29,23,2
3,23,16,2
3,20,16,2
3,17,26,2
3,25,19,2
3,11,22,2
3,14,16,2
3,26,22,2
3,26,14,2
3,11,26,2
3,24,11,2
3,23,27,2
3,19,11,2
3,28,28,2
3,30,18,2
3,15,27,2
3,16,19,2
3,28,12,2
3,28,15,2
3,28,16,2
3,25,17,2
3,15,27,2
3,25,21,2
3,17,22,2
3,25,29,2
3,26,13,2
3,17,20,2
3,14,26,2
3,19,22,2
3,28,19,2
3,30,15,2
3,22,17,2
3,13,25,2
3,13,12,2
3,28,13,2
3,21,15,2
3,28,16,2
3,19,27,2
3,27,11,2
3,26,22,2
3,18,28,2
3,26,26,2
3,13,16,2
3,28,19,2
3,22,18,2
3,11,20,2
3,28,12,2
3,29,24,2
3,30,17,2
3,11,28,2
3,28,24,2
3,23,26,2
3,16,25,2
3,18,26,2
3,19,18,2
3,21,16,2
3,21,23,2
3,14,19,2
3,12,27,2
3,21,23,2
3,13,19,2
3,26,16,2
3,12,22,2
3,25,12,2
3,18,26,2
3,12,14,2
3,29,28,2
3,16,16,2
3,28,12,2
3,20,29,2
3,11,12,2
3,11,12,2
3,13,20,2
3,20,12,2
3,18,30,2
3,23,12,2
3,23,12,2
3,25,21,2
3,16,28,2
3,22,15,2
3,29,14,2
3,20,26,2
3,24,18,2
3,22,15,2
3,22,29,2
3,27,12,2
3,24,16,2
3,17,22,2
3,11,16,2
3,13,25,2
3,12,23,2
0,4,10,1
0,8,2,1
0,8,2,1
2,1,0,1
1,0,6,1
0,8,2,1
1,6,3,1
2,6,3,1
1,4,3,1
1,3,5,1
0,10,3,1
2,4,10,1
0,6,3,1
0,5,8,1
2,8,8,1
1,5,5,1
2,5,3,1
1,8,10,1
2,9,10,1
1,7,0,1
2,9,7,1
2,5,9,1
2,4,10,1
0,0,2,1
1,2,10,1
0,3,3,1
1,7,4,1
0,2,6,1
1,2,3,1
1,1,2,1
2,2,0,1
1,0,8,1
1,1,7,1
1,0,3,1
1,7,6,1
0,8,8,1
0,3,6,1
0,10,9,1
1,1,5,1
0,1,2,1
1,6,9,1
1,3,10,1
2,9,6,1
1,8,0,1
0,2,3,1
2,1,1,1
0,4,4,1
1,7,0,1
1,1,0,1
1,6,6,1
0,1,5,1
2,10,7,1
0,4,4,1
0,4,6,1
1,8,1,1
2,4,5,1
2,7,1,1
1,3,1,1
2,3,7,1
1,10,8,1
1,0,9,1
0,0,4,1
0,5,5,1
0,5,9,1
0,3,9,1
0,7,0,1
2,7,7,1
1,9,10,1
2,7,8,1
0,6,2,1
1,3,1,1
2,3,4,1
2,1,3,1
1,6,3,1
1,1,3,1
2,7,0,1
1,2,2,1
1,6,0,1
2,3,4,1
0,5,9,1
1,10,0,1
1,5,5,1
1,10,0,1
0,9,2,1
0,6,7,1
1,1,8,1
2,5,3,1
1,6,1,1
1,8,1,1
0,6,9,1
1,5,4,1
2,5,10,1
2,10,3,1
1,6,8,1
2,3,0,1
2,9,5,1
2,0,8,1
2,1,1,1
1,1,9,1
1,9,7,1
0,10,10,1
1,4,8,1
2,7,2,1
2,0,6,1
0,6,9,1
1,5,7,1
0,9,1,1
1,2,1,1
2,10,8,1
1,4,5,1
2,0,5,1
0,6,6,1
0,7,3,1
1,1,3,1
1,9,9,1
1,7,2,1
0,8,10,1
1,2,8,1
1,10,3,1
2,2,3,1
1,4,5,1
1,7,6,1
2,7,0,1
0,4,10,1
1,2,5,1
2,0,5,1
1,1,0,1
2,6,3,1
2,2,8,1
0,1,7,1
0,7,6,1
1,6,4,1
0,4,6,1
1,8,7,1
2,7,7,1
0,6,7,1
1,6,2,1
1,9,1,1
2,5,0,1
1,1,10,1
1,5,5,1
2,2,6,1
1,7,1,1
1,6,9,1
0,2,1,1
0,1,6,1
2,1,10,1
0,6,7,1
0,4,1,1
0,10,9,1
2,6,5,1
1,4,7,1
2,9,8,1
0,8,2,1
1,10,6,1
1,6,1,1
0,1,4,1
0,6,9,1
0,9,2,1
2,8,6,1
0,10,1,1
2,7,10,1
1,5,8,1
1,8,8,1
2,4,5,1
1,6,3,1
1,2,0,1
1,0,7,1
0,6,7,1
2,5,3,1
0,6,6,1
0,5,10,1
0,6,10,1
0,10,9,1
1,7,4,1
2,2,4,1
2,8,3,1
0,2,3,1
0,7,3,1
1,6,10,1
1,5,0,1
2,1,5,1
0,8,9,1
2,4,8,1
1,0,10,1
0,0,0,1
1,9,7,1
1,9,3,1
0,3,2,1
1,5,6,1
2,3,0,1
1,7,9,1
2,2,3,1
2,2,2,1
1,5,1,1
1,2,0,1
0,6,4,1
1,9,6,1
1,6,0,1
2,7,10,1
1,9,2,1
2,5,0,1
2,0,4,1
0,1,6,1
1,10,5,1
0,9,10,1
0,3,7,1
0,6,2,1
1,7,9,1
1,7,3,1
0,0,4,1
0,0,10,1
2,6,7,1
2,4,2,1
1,7,10,1
1,4,5,1
1,3,7,1
2,10,3,1
1,0,10,1
1,7,10,1
2,2,2,1
0,9,5,1
1,4,3,1
1,2,2,1
1,4,6,1
0,5,5,1
0,0,2,1
2,8,5,1
1,5,0,1
2,7,10,1
2,9,3,1
1,7,2,1
0,6,1,1
0,2,4,1
0,10,4,1
0,1,10,1
0,4,7,1
0,0,7,1
2,0,1,1
1,3,1,1
1,10,3,1
1,10,6,1
0,3,2,1
0,5,7,1
2,10,1,1
0,10,6,1
1,1,10,1
0,3,6,1
2,3,3,1
2,2,0,1
1,5,7,1
1,10,8,1
0,0,10,1
1,10,4,1
1,10,6,1
0,2,5,1
1,8,9,1
0,6,9,1
0,8,3,1
2,9,5,1
2,4,6,1
2,5,0,1
1,4,6,1
0,5,1,1
2,5,5,1
2,4,7,1
2,10,3,1
2,5,1,1
0,6,1,1
0,8,2,1
2,0,7,1
0,9,0,1
1,8,1,1
1,3,4,1
0,6,3,1
0,9,7,1
2,9,1,1
1,9,7,1
0,8,7,1
2,8,9,1
1,8,8,1
2,1,4,1
0,3,0,1
1,2,2,1
0,3,5,1
2,2,6,1
0,3,9,1
2,9,9,1
1,5,0,1
1,1,5,1
0,2,8,1
0,3,10,1
1,3,3,1
1,6,0,1
2,0,0,1
2,5,3,1
1,8,7,1
2,4,1,1
1,3,1,1
1,5,0,1
0,0,4,1
1,10,9,1
1,3,7,1
1,4,4,1
2,2,7,1
2,7,5,1
0,1,10,1
1,3,5,1
2,2,7,1
0,8,3,1
0,8,2,1
1,7,4,1
1,0,4,1
1,5,8,1
1,0,1,1
1,2,6,1
1,2,7,1
2,3,9,1
1,10,5,1
1,2,7,1
2,5,1,1
2,1,7,1
1,2,4,1
1,5,5,1
2,10,3,1
1,8,6,1
2,5,2,1
2,1,4,1
1,4,6,1
1,2,1,1
2,0,1,1
1,2,6,1
1,6,9,1
2,5,7,1
2,7,10,1
1,3,7,1
1,3,4,1
1,6,10,1
2,3,4,1
0,0,5,1
1,6,4,1
2,2,5,1
2,4,6,1
1,0,0,1
0,10,8,1
2,8,9,1
0,8,9,1
2,10,2,1
1,10,10,1
1,4,5,1
2,0,6,1
0,5,6,1
0,3,2,1
1,8,8,1
0,10,2,1
1,6,6,1
1,6,6,1
1,4,3,1
1,4,8,1
1,2,5,1
0,5,4,1
1,4,8,1
1,2,1,1
0,5,3,1
0,3,4,1
2,1,0,1
2,2,8,1
0,9,5,1
2,7,4,1
2,3,3,1
2,1,4,1
1,2,4,1
1,4,8,1
1,10,8,1
1,0,2,1
1,7,10,1
0,2,8,1
1,4,1,1
2,6,9,1
0,9,2,1
1,1,4,1
1,1,6,1
0,2,6,1
2,7,10,1
1,10,7,1
2,9,1,1
1,4,7,1
0,2,2,1
2,1,2,1
0,6,1,1
1,9,7,1
2,7,7,1
1,5,7,1
0,3,5,1
0,3,5,1
0,0,7,1
1,9,5,1
0,5,1,1
2,4,10,1
0,4,8,1
2,2,10,1
0,1,9,1
0,3,10,1
0,0,9,1
1,9,4,1
0,7,0,1
1,3,1,1
0,7,6,1
2,2,1,1
2,4,5,1
2,5,7,1
2,4,3,1
0,4,9,1
1,8,1,1
2,0,7,1
0,8,9,1
2,4,4,1
0,2,7,1
2,8,0,1
1,6,1,1
0,5,5,1
1,1,4,1
2,1,3,1
0,1,10,1
2,5,6,1
0,6,9,1
2,0,4,1
2,3,6,1
1,6,9,1
1,3,8,1
1,2,9,1
1,7,9,1
2,10,6,1
1,9,3,1
1,7,5,1
2,7,9,1
2,4,7,1
2,4,9,1
0,4,7,1
0,5,4,1
1,9,7,1
0,10,1,1
1,8,7,1
2,1,2,1
0,5,6,1
0,10,2,1
2,1,7,1
0,4,8,1
0,6,9,1
1,6,8,1
2,1,10,1
0,7,10,1
1,1,5,1
2,6,6,1
1,2,2,1
0,7,3,1
2,7,6,1
0,8,4,1
2,4,0,1
0,0,3,1
0,7,4,1
1,0,5,1
2,6,8,1
2,10,6,1
0,3,10,1
1,9,3,1
2,6,7,1
2,2,7,1
2,8,10,1
1,4,6,1
1,9,8,1
0,9,7,1
1,10,4,1
0,4,5,1
2,1,4,1
1,9,10,1
0,9,5,1
2,9,10,1
0,2,5,1
2,1,0,1
1,8,2,1
1,3,0,1
2,2,0,1
1,9,8,1
1,10,3,1
2,9,3,1
2,9,4,1
2,5,1,1
2,2,5,1
2,2,7,1
1,8,7,1
2,8,8,1
1,8,1,1
1,4,6,1
0,3,4,1
0,4,7,1
0,2,2,1
1,4,9,1
2,0,5,1
0,9,9,1
0,10,1,1
2,10,8,1
2,9,6,1
2,3,4,1
0,1,4,1
0,10,3,1
1,9,3,1
2,3,10,1
1,3,2,1
2,5,1,1
1,3,7,1
0,8,9,1
2,2,5,1
0,7,5,1
0,5,6,1
2,3,5,1
1,4,6,1
1,6,3,1
0,5,4,1
2,1,1,1
2,0,4,1
2,5,0,1
1,3,8,1
1,0,0,1
1,0,9,1
0,1,7,1
1,5,7,1
1,2,6,1
2,8,4,1
1,3,9,1
2,0,3,1
2,6,4,1
2,9,0,1
2,7,1,1
2,2,0,1
1,7,7,1
0,8,7,1
0,10,9,1
1,1,6,1
1,7,7,1
1,3,4,1
2,6,2,1
1,1,10,1
2,5,9,1
1,10,1,1
1,5,1,1
2,6,4,1
2,0,4,1
2,6,6,1
0,9,5,1
0,1,5,1
0,9,6,1
1,7,5,1
0,6,4,1
2,1,8,1
0,3,4,1
0,2,5,1
1,7,4,1
1,7,1,1
0,3,6,1
1,4,4,1
1,10,7,1
2,4,6,1
2,4,1,1
2,9,9,1
2,1,7,1
