knowledge_approval,knowledge_reliability,knowledge_accuracy,knowledge_quality
1,34,28,2
1,33,12,2
1,15,47,2
1,25,33,2
1,20,12,2
1,29,47,2
1,41,13,2
1,21,15,2
1,41,26,2
1,20,27,2
1,14,14,2
1,34,13,2
1,13,30,2
1,42,33,2
1,41,41,2
1,20,26,2
1,14,38,2
1,47,43,2
1,15,18,2
1,46,31,2
1,26,47,2
1,11,46,2
1,47,13,2
1,44,18,2
1,17,20,2
1,15,28,2
1,26,19,2
1,38,32,2
1,12,49,2
1,41,16,2
1,27,21,2
1,16,47,2
1,25,41,2
1,16,44,2
1,17,31,2
1,41,16,2
1,26,41,2
1,21,18,2
1,48,43,2
1,50,11,2
1,19,16,2
1,19,32,2
1,28,37,2
1,29,49,2
1,25,31,2
1,27,23,2
1,19,28,2
1,41,29,2
1,11,49,2
1,23,26,2
1,34,29,2
1,37,17,2
1,12,17,2
1,27,43,2
1,24,47,2
1,11,33,2
1,50,26,2
1,28,37,2
1,30,45,2
1,31,38,2
1,34,36,2
1,30,19,2
1,14,40,2
1,36,24,2
1,15,42,2
1,42,27,2
1,40,37,2
1,12,14,2
1,19,36,2
1,32,28,2
1,25,15,2
1,50,40,2
1,46,47,2
1,49,44,2
1,48,46,2
1,13,50,2
1,19,45,2
1,42,28,2
1,47,18,2
1,31,48,2
1,27,22,2
1,48,22,2
1,25,47,2
1,16,43,2
1,34,36,2
1,43,17,2
1,43,13,2
1,45,44,2
1,49,39,2
1,20,34,2
1,19,20,2
1,23,45,2
1,50,33,2
1,12,12,2
1,13,14,2
1,48,35,2
1,41,15,2
1,24,44,2
1,13,18,2
1,15,46,2
1,47,35,2
1,42,30,2
1,28,49,2
1,28,22,2
1,29,38,2
1,39,46,2
1,39,25,2
1,42,43,2
1,19,43,2
1,19,15,2
1,20,44,2
1,26,39,2
1,36,39,2
1,48,21,2
1,28,16,2
1,18,44,2
1,12,46,2
1,41,30,2
1,11,19,2
1,12,39,2
1,34,11,2
1,39,42,2
1,27,35,2
1,13,11,2
1,36,42,2
1,38,33,2
1,46,49,2
1,50,16,2
1,18,29,2
1,15,41,2
1,41,11,2
1,50,37,2
1,34,11,2
1,24,40,2
1,13,11,2
1,40,26,2
1,38,46,2
1,40,28,2
1,14,16,2
1,19,21,2
1,46,46,2
1,36,32,2
1,26,43,2
1,15,22,2
1,11,42,2
1,26,47,2
1,21,14,2
1,37,25,2
1,20,42,2
1,40,31,2
1,18,41,2
1,46,14,2
1,11,30,2
1,19,18,2
1,33,48,2
1,14,17,2
1,44,34,2
1,43,41,2
1,25,36,2
1,46,42,2
1,46,22,2
1,13,27,2
1,32,17,2
1,28,46,2
1,39,32,2
1,50,43,2
1,41,43,2
1,28,22,2
1,43,15,2
1,33,37,2
1,30,30,2
1,46,14,2
1,41,37,2
1,27,39,2
1,26,20,2
1,32,14,2
1,19,32,2
1,40,29,2
1,19,16,2
1,21,44,2
1,39,16,2
1,17,29,2
1,28,26,2
1,11,20,2
1,20,14,2
1,28,15,2
1,12,29,2
1,31,14,2
1,47,39,2
1,28,35,2
1,19,30,2
1,36,48,2
1,40,30,2
1,27,28,2
1,20,30,2
1,42,32,2
1,21,46,2
1,14,31,2
1,16,39,2
1,19,50,2
1,42,29,2
1,45,37,2
1,40,27,2
1,12,42,2
1,40,36,2
1,11,14,2
1,16,13,2
1,49,20,2
1,12,42,2
1,40,29,2
1,50,33,2
1,44,38,2
1,18,36,2
1,30,31,2
1,48,20,2
1,43,38,2
1,50,17,2
1,26,49,2
1,44,45,2
1,24,16,2
1,16,37,2
1,19,41,2
1,24,40,2
1,36,41,2
1,36,50,2
1,23,37,2
1,24,15,2
1,35,18,2
1,15,37,2
1,29,36,2
1,28,50,2
1,31,35,2
1,49,38,2
1,24,44,2
1,26,28,2
1,31,19,2
1,50,31,2
1,27,13,2
1,26,29,2
1,28,14,2
1,18,22,2
1,29,34,2
1,40,28,2
1,47,49,2
1,31,47,2
1,40,22,2
1,47,31,2
1,41,39,2
1,45,19,2
1,43,17,2
1,41,38,2
1,49,48,2
1,11,50,2
1,11,40,2
1,25,42,2
1,23,32,2
1,17,48,2
1,38,45,2
1,16,48,2
1,35,15,2
1,11,47,2
1,15,18,2
1,27,34,2
1,39,42,2
1,30,27,2
1,24,31,2
1,48,47,2
1,33,26,2
1,13,46,2
1,26,21,2
1,34,30,2
1,21,39,2
1,43,16,2
1,38,33,2
1,50,43,2
1,33,35,2
1,40,20,2
1,19,18,2
1,22,18,2
1,21,40,2
1,47,17,2
1,48,47,2
1,32,15,2
1,32,21,2
1,40,39,2
1,13,49,2
1,43,22,2
1,35,42,2
1,24,44,2
1,46,18,2
1,11,42,2
1,30,31,2
1,49,44,2
1,13,28,2
1,24,35,2
1,12,35,2
1,48,15,2
1,29,24,2
1,30,41,2
1,50,19,2
1,39,36,2
1,45,27,2
1,31,30,2
1,50,28,2
1,33,47,2
1,47,21,2
1,17,50,2
1,18,47,2
1,29,50,2
1,11,20,2
1,32,17,2
1,42,42,2
1,26,50,2
1,28,23,2
1,11,34,2
1,41,26,2
1,18,30,2
1,20,42,2
1,47,14,2
1,30,37,2
1,16,31,2
1,46,35,2
1,21,24,2
1,41,27,2
1,45,36,2
1,17,15,2
1,24,43,2
1,26,44,2
1,43,20,2
1,20,46,2
1,25,22,2
1,20,40,2
1,34,11,2
1,29,37,2
1,15,19,2
1,48,39,2
1,39,26,2
1,27,38,2
1,32,18,2
1,48,37,2
1,49,12,2
1,41,15,2
1,44,29,2
1,12,38,2
1,32,26,2
1,12,21,2
1,18,28,2
1,39,39,2
1,39,41,2
1,48,33,2
1,33,27,2
1,20,47,2
1,15,46,2
1,15,44,2
1,36,38,2
1,21,15,2
1,28,37,2
1,40,40,2
1,14,37,2
1,16,22,2
1,34,30,2
1,50,50,2
1,44,12,2
1,40,24,2
1,39,47,2
1,47,23,2
1,48,23,2
1,28,43,2
1,27,14,2
1,19,28,2
1,39,46,2
1,28,42,2
1,37,39,2
1,29,27,2
1,45,48,2
1,50,46,2
1,20,24,2
1,13,18,2
1,47,32,2
1,38,40,2
1,31,36,2
1,47,43,2
1,38,23,2
1,26,45,2
1,17,25,2
1,25,29,2
1,13,17,2
1,42,48,2
1,36,41,2
1,28,14,2
1,35,18,2
1,32,37,2
1,16,23,2
1,19,39,2
1,47,27,2
1,42,26,2
1,34,17,2
1,17,12,2
1,35,24,2
1,31,21,2
1,42,15,2
1,43,36,2
1,34,18,2
1,25,20,2
1,37,47,2
1,11,29,2
1,33,35,2
1,39,18,2
1,30,24,2
1,34,36,2
1,37,15,2
1,25,43,2
1,28,21,2
1,44,30,2
1,45,21,2
1,16,11,2
1,39,24,2
1,15,36,2
1,13,41,2
1,41,27,2
1,37,23,2
1,30,43,2
1,49,16,2
1,42,16,2
1,37,41,2
1,28,22,2
1,47,15,2
1,17,17,2
1,27,40,2
1,30,38,2
1,35,27,2
1,25,19,2
1,29,29,2
1,33,23,2
1,45,50,2
1,41,18,2
1,29,16,2
1,31,32,2
1,43,32,2
1,32,29,2
1,40,26,2
1,27,20,2
1,19,30,2
1,20,49,2
1,35,28,2
1,33,13,2
1,12,18,2
1,26,25,2
1,28,49,2
1,26,47,2
1,21,24,2
1,27,17,2
1,25,50,2
1,29,33,2
1,16,20,2
1,38,13,2
1,36,42,2
1,14,42,2
1,25,34,2
1,38,43,2
1,32,45,2
1,15,21,2
1,34,31,2
1,43,19,2
1,26,43,2
1,28,30,2
1,46,14,2
1,26,40,2
1,46,50,2
1,37,44,2
1,19,43,2
1,42,19,2
1,34,30,2
1,11,31,2
1,23,42,2
1,11,49,2
1,44,36,2
1,45,48,2
1,23,21,2
1,19,46,2
1,29,42,2
1,19,19,2
1,20,38,2
1,12,15,2
1,22,48,2
1,19,38,2
1,39,22,2
1,14,12,2
1,43,28,2
1,22,46,2
1,34,35,2
1,18,30,2
1,11,41,2
1,39,48,2
1,20,24,2
1,39,33,2
1,35,33,2
1,44,44,2
1,34,20,2
1,48,12,2
1,15,29,2
1,48,23,2
1,44,17,2
1,40,19,2
1,24,20,2
1,39,38,2
1,25,26,2
1,27,43,2
1,46,42,2
1,14,35,2
1,17,27,2
1,14,38,2
1,46,37,2
1,39,40,2
1,11,17,2
1,30,36,2
1,33,14,2
1,21,38,2
1,31,36,2
1,38,30,2
1,31,24,2
1,31,23,2
1,24,12,2
1,31,43,2
1,43,24,2
1,15,49,2
1,19,15,2
1,11,14,2
1,23,37,2
1,41,13,2
1,43,36,2
1,46,20,2
1,37,50,2
1,48,42,2
1,44,13,2
1,45,42,2
1,32,35,2
1,19,18,2
1,42,29,2
1,40,34,2
1,39,12,2
1,44,13,2
1,13,48,2
1,19,40,2
1,32,34,2
1,39,38,2
1,42,49,2
1,19,50,2
1,24,37,2
1,30,16,2
1,39,46,2
1,12,41,2
1,12,29,2
1,35,28,2
1,25,32,2
1,24,47,2
1,25,34,2
1,14,32,2
1,48,20,2
1,37,34,2
1,32,41,2
1,39,17,2
1,34,16,2
1,26,14,2
1,47,19,2
1,15,12,2
1,17,36,2
1,31,46,2
1,21,30,2
1,40,48,2
1,48,15,2
1,16,25,2
1,38,29,2
1,36,48,2
1,38,46,2
1,43,33,2
1,34,50,2
1,35,24,2
1,16,26,2
1,19,18,2
1,11,31,2
1,23,22,2
1,29,12,2
1,25,19,2
1,25,16,2
1,17,24,2
1,43,24,2
1,44,33,2
1,29,48,2
1,50,27,2
1,15,44,2
1,15,17,2
1,26,41,2
1,15,24,2
1,21,25,2
1,38,23,2
1,29,47,2
1,20,19,2
1,11,27,2
1,40,22,2
1,21,30,2
1,13,41,2
1,44,31,2
1,26,23,2
1,37,20,2
1,29,25,2
1,25,15,2
1,11,36,2
1,25,19,2
1,33,37,2
1,26,25,2
1,45,46,2
1,44,28,2
1,34,42,2
1,49,25,2
1,45,22,2
1,42,14,2
1,19,24,2
1,17,14,2
1,26,50,2
1,42,30,2
1,31,38,2
1,33,30,2
1,49,30,2
1,26,32,2
1,21,44,2
1,35,40,2
1,36,27,2
1,21,37,2
1,48,11,2
1,33,32,2
1,37,28,2
1,43,26,2
1,40,28,2
1,42,44,2
1,35,14,2
1,23,20,2
1,38,25,2
1,32,21,2
1,43,41,2
1,24,23,2
1,36,20,2
1,17,31,2
1,40,36,2
1,43,49,2
1,16,20,2
1,18,41,2
1,47,46,2
1,23,50,2
1,42,23,2
1,50,39,2
1,32,45,2
1,33,23,2
1,36,38,2
1,26,16,2
1,13,43,2
1,42,11,2
1,44,35,2
1,41,12,2
1,21,14,2
1,11,30,2
1,30,47,2
1,15,21,2
1,18,47,2
1,13,34,2
1,35,49,2
1,47,36,2
1,17,16,2
1,23,22,2
1,25,12,2
1,29,11,2
1,32,46,2
1,46,45,2
1,46,47,2
1,50,12,2
1,12,46,2
1,29,47,2
1,26,36,2
1,13,23,2
1,11,45,2
1,35,29,2
1,22,18,2
1,21,26,2
1,48,17,2
1,47,41,2
1,37,30,2
1,46,25,2
1,25,21,2
1,43,16,2
1,27,24,2
1,41,23,2
1,16,14,2
