knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_rating,knowledge_quality
0,27,0,27,2
0,24,1,3,1
1,53,0,31,2
0,9,0,57,3
1,76,1,50,1
0,100,1,1,3
0,73,1,88,2
0,66,0,33,2
1,82,1,61,3
0,76,1,10,1
1,1,1,49,3
1,34,1,29,3
1,23,0,85,3
1,67,1,43,3
1,91,0,52,1
1,48,1,54,2
1,54,1,61,2
1,5,0,98,1
1,16,0,26,1
1,9,0,71,1
1,30,0,59,1
1,78,0,75,3
1,39,1,61,1
1,89,1,31,3
0,5,1,98,2
1,53,1,76,2
1,78,0,73,2
1,55,0,87,3
1,86,1,21,2
1,84,1,48,1
1,14,1,26,2
0,2,0,1,3
1,1,1,40,3
1,50,0,20,1
1,17,1,3,3
1,69,0,16,2
0,92,0,58,1
1,53,0,100,3
1,39,0,28,1
1,36,1,78,3
0,43,0,95,1
1,24,1,83,2
0,76,0,25,1
1,99,0,75,3
0,72,1,64,1
0,98,1,76,1
1,95,0,36,1
0,20,1,9,2
0,18,1,2,2
0,22,0,91,1
1,79,1,22,1
1,76,0,95,3
1,79,1,1,2
0,71,0,5,1
1,4,0,8,3
0,17,1,64,3
0,100,1,57,2
0,21,0,96,2
0,24,1,69,1
1,54,1,70,3
1,47,0,37,3
1,50,1,69,3
0,57,1,70,1
1,80,1,12,1
1,86,0,37,2
1,97,0,14,1
1,11,1,93,1
1,77,1,44,1
0,98,0,45,3
0,72,1,86,2
0,60,0,91,3
0,60,1,92,3
1,97,0,91,1
1,45,1,90,1
1,20,0,96,3
1,7,0,61,1
1,13,0,43,1
0,54,1,23,1
0,85,1,17,3
0,54,0,48,2
1,61,0,13,2
1,79,1,79,1
0,0,0,60,3
0,35,0,73,1
0,97,1,77,3
1,60,0,16,1
0,72,0,97,2
0,5,1,68,2
1,4,1,47,3
1,12,0,54,2
1,98,1,88,1
0,71,0,38,3
0,95,0,2,1
1,51,1,37,3
1,13,1,52,3
0,85,1,53,1
0,77,0,12,2
1,54,0,24,3
0,32,1,95,3
1,49,1,35,3
1,88,1,27,1
1,77,0,59,3
0,20,1,45,1
1,92,1,25,2
0,0,0,69,3
0,1,0,85,1
0,77,1,100,3
1,65,0,16,2
1,74,1,3,1
0,20,1,36,3
1,19,1,19,3
1,70,0,85,1
1,82,1,66,2
0,37,1,63,1
0,50,1,75,2
0,72,1,3,1
0,20,1,77,2
0,9,1,3,3
1,49,1,27,3
1,45,1,100,2
1,36,1,49,1
1,32,0,86,2
0,47,1,1,3
0,31,0,55,2
1,45,1,80,3
1,80,1,99,1
0,23,1,54,3
1,100,0,81,1
1,0,1,93,1
0,0,0,21,3
1,80,0,83,3
0,9,1,7,3
0,61,0,0,2
1,97,1,77,3
0,14,0,100,1
0,0,1,16,1
0,34,0,88,3
0,98,1,42,3
1,97,1,18,2
1,78,1,26,3
0,12,0,51,3
0,31,1,84,3
0,20,1,96,1
1,41,1,37,2
1,21,0,37,2
0,25,0,60,3
0,7,1,25,1
1,0,0,99,3
0,7,1,43,2
0,47,0,71,2
