knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_quality
3,16,85,2
1,18,76,1
3,14,8,2
1,58,59,1
1,4,54,2
0,62,36,2
1,50,36,2
2,6,21,1
2,72,40,2
0,77,3,1
1,25,28,1
0,18,45,2
0,68,65,2
0,4,69,1
1,80,4,1
1,11,64,1
1,58,27,2
3,19,10,2
0,76,56,2
2,23,65,2
1,10,28,2
1,11,26,2
3,73,64,2
2,16,63,1
3,3,53,1
0,14,2,1
3,50,12,2
2,12,82,1
1,62,69,2
3,15,12,1
0,43,73,2
3,59,75,1
0,79,2,2
2,59,30,1
2,37,99,1
3,3,67,2
2,1,24,1
3,47,86,2
3,78,53,1
0,65,32,2
2,38,50,1
2,10,15,2
0,26,30,1
3,74,2,2
0,5,80,1
3,70,99,2
3,2,93,2
0,30,79,1
1,76,49,2
2,15,73,2
0,56,79,1
2,5,54,1
3,30,52,2
3,72,61,2
0,1,9,1
3,15,75,2
0,26,18,2
3,17,43,1
3,32,11,1
0,18,97,2
1,57,90,2
0,51,44,1
3,46,36,2
0,32,73,1
3,43,13,2
2,56,38,2
0,38,73,1
1,10,52,2
3,59,29,2
2,13,61,2
1,8,25,1
0,60,95,2
3,57,61,2
2,64,58,2
1,41,30,2
2,44,21,1
0,20,91,1
2,65,15,1
2,35,51,2
1,3,88,1
3,62,27,1
3,60,55,2
0,30,77,2
3,48,20,2
3,71,53,2
3,39,30,1
0,55,59,2
3,34,55,1
0,33,1,1
0,37,64,1
0,42,45,1
1,42,16,1
2,12,28,2
1,8,82,1
2,45,6,2
2,23,15,2
1,61,77,1
1,37,41,2
3,1,68,2
1,68,14,2
3,15,66,1
2,34,38,2
3,73,16,1
3,64,15,1
0,63,68,2
0,4,32,2
2,29,32,2
1,22,87,2
1,57,99,1
1,51,74,1
2,65,98,2
3,28,82,2
0,35,79,1
0,73,80,1
2,32,41,2
0,7,13,2
0,33,37,1
3,32,29,1
3,79,24,2
1,31,21,2
0,22,64,1
0,55,88,2
2,74,89,1
1,46,99,1
3,61,51,2
1,77,66,1
2,22,78,1
0,49,26,2
0,50,39,1
2,31,11,1
1,30,71,1
0,35,45,2
0,35,47,1
1,18,55,1
2,34,73,2
1,24,87,1
0,55,27,2
0,17,37,1
2,33,77,1
3,20,58,1
2,51,45,1
3,36,25,2
0,25,66,2
1,61,84,2
2,14,18,1
2,49,54,1
0,5,17,2
1,17,41,1
0,22,57,1
1,66,4,1
3,17,94,1
1,34,99,1
0,31,45,2
1,1,31,2
3,31,45,1
0,65,11,1
2,13,36,2
3,19,35,2
1,75,97,1
3,23,46,2
2,73,76,1
0,54,100,2
2,20,22,1
3,57,49,2
0,32,96,2
2,72,20,2
3,75,35,1
0,77,41,1
0,67,100,1
1,33,96,1
1,20,4,2
0,23,80,1
0,6,66,2
0,14,57,2
2,21,55,2
3,43,31,1
1,34,24,1
0,54,84,1
3,69,25,2
0,41,97,1
2,75,40,1
1,54,73,1
3,46,92,2
1,9,84,1
3,48,89,1
2,70,71,2
0,39,88,1
2,26,53,1
3,54,50,2
1,13,61,2
1,75,31,1
3,25,30,1
3,26,4,1
2,52,14,2
2,18,100,2
1,73,100,1
2,14,66,2
1,56,48,1
1,4,65,1
1,57,77,1
1,73,90,1
2,56,70,2
3,17,20,1
0,21,91,1
2,75,26,2
0,46,6,2
3,60,21,2
1,7,92,2
1,20,30,1
1,34,55,2
2,57,29,2
1,18,42,1
3,48,14,1
3,12,23,2
3,33,13,1
2,61,74,1
0,23,23,2
0,76,99,1
0,7,39,2
3,10,29,1
2,5,72,1
1,76,86,2
0,78,23,1
0,74,41,2
2,57,79,1
0,48,34,1
3,40,61,1
3,31,72,2
3,25,54,1
1,63,17,1
1,16,60,1
3,72,59,2
0,50,30,2
0,4,72,1
1,30,56,1
2,6,88,1
3,48,69,2
0,66,49,2
0,20,80,2
2,52,35,2
0,51,67,2
2,16,48,2
0,11,52,1
3,32,35,1
0,50,92,1
3,72,14,1
1,58,58,1
3,30,9,1
2,45,80,2
1,60,41,2
2,45,29,2
1,24,98,1
2,50,81,1
2,25,61,2
1,14,10,2
0,71,65,2
0,43,92,1
0,8,7,1
1,27,83,2
3,60,45,2
2,54,71,1
2,55,57,2
3,58,93,1
1,37,42,2
1,50,42,2
3,4,34,1
3,14,8,2
0,45,49,1
1,58,26,1
3,20,88,2
2,49,27,2
1,14,4,1
2,73,39,1
3,29,2,1
1,68,85,2
1,2,9,1
2,38,29,1
1,78,3,2
2,41,100,2
0,55,100,2
0,11,36,2
0,24,60,2
1,40,78,1
0,37,68,1
2,31,81,1
2,79,74,1
0,43,45,1
1,77,10,1
1,46,18,2
3,22,86,1
3,42,40,1
3,36,68,2
3,20,67,1
0,64,73,2
0,13,74,1
2,76,30,1
3,17,10,1
2,6,77,2
1,48,23,1
0,43,15,1
2,57,51,1
1,22,17,2
1,11,66,2
2,19,41,2
0,69,42,2
1,51,79,1
0,79,76,2
0,49,7,2
0,75,46,1
2,7,76,1
0,56,41,1
3,74,78,1
2,35,14,2
1,68,83,2
0,74,17,2
1,30,6,2
2,69,51,2
3,39,54,1
2,7,57,2
2,74,75,2
1,25,79,1
3,16,46,2
2,23,48,1
0,10,72,1
3,77,21,1
1,37,63,2
0,3,25,1
2,54,82,2
1,7,17,2
0,42,97,1
0,75,79,2
1,71,49,1
2,46,71,1
2,65,88,2
1,79,4,1
2,76,26,2
2,76,90,2
0,2,42,2
2,73,73,1
1,45,97,1
1,80,57,2
1,4,21,2
2,39,82,2
1,41,16,2
0,12,93,2
1,16,77,1
1,51,30,2
2,11,77,1
3,54,21,2
1,77,2,1
2,30,23,2
0,39,27,2
2,20,60,2
2,70,61,2
1,64,83,1
2,37,79,2
2,56,94,2
3,9,35,2
0,74,31,1
0,72,65,2
0,22,72,2
2,71,61,1
1,49,96,2
2,4,7,2
0,35,23,1
3,62,61,2
3,39,54,1
0,48,80,1
3,4,8,2
1,19,27,2
3,5,46,1
3,43,56,2
0,60,7,1
1,8,46,2
1,2,45,1
0,63,7,2
0,60,82,1
0,47,78,2
2,69,68,1
2,64,96,1
2,9,66,1
3,56,27,2
3,14,72,2
2,74,57,1
1,17,38,2
0,73,43,2
0,28,98,1
0,66,55,1
3,4,72,1
2,28,94,1
2,28,93,1
0,69,50,2
3,74,37,1
0,53,8,1
0,71,6,2
2,43,74,2
2,70,86,2
0,69,36,1
2,69,56,2
3,13,77,2
2,70,88,2
2,51,24,1
2,26,30,1
3,46,98,2
3,52,38,1
1,36,54,2
0,14,100,1
0,26,96,2
1,56,92,1
3,15,30,1
1,18,65,2
0,27,83,2
2,34,55,2
1,37,11,1
2,75,67,2
1,53,44,1
1,17,77,1
3,60,18,2
2,63,59,2
2,59,82,2
3,66,14,1
0,66,34,1
2,56,9,2
3,43,52,1
1,44,55,1
1,40,97,2
0,3,27,2
3,11,1,2
2,78,47,2
0,14,44,1
0,50,13,2
3,50,94,2
1,49,51,2
1,5,54,1
3,52,32,1
2,54,31,2
3,13,50,1
1,64,98,2
0,74,67,1
1,60,31,1
0,27,42,2
0,55,55,1
1,51,33,2
3,54,60,1
1,41,49,1
1,45,87,2
1,7,71,1
1,49,70,2
1,73,67,2
2,50,74,1
2,31,61,1
3,64,98,2
0,26,42,2
0,25,29,1
0,36,67,1
3,7,47,1
3,40,79,2
0,75,45,2
3,33,49,1
1,7,60,2
1,46,87,1
1,18,83,2
3,18,55,2
0,26,58,1
2,21,66,2
1,69,100,1
0,46,47,2
2,18,36,1
3,78,11,2
1,37,58,1
2,56,59,1
1,51,16,1
2,60,84,1
0,23,76,1
3,38,66,2
0,60,86,1
0,7,95,2
2,15,72,2
0,40,95,2
0,70,66,2
0,46,96,2
1,68,56,1
1,44,31,2
3,48,69,1
0,57,68,2
2,11,16,2
2,43,89,1
2,5,41,1
0,9,56,1
0,9,28,2
0,66,50,1
2,71,2,1
3,25,85,1
0,57,72,2
0,5,9,2
0,2,23,1
1,10,83,1
0,78,32,2
1,35,36,1
0,21,42,2
3,68,48,2
1,55,13,2
2,57,60,2
0,42,63,2
0,50,5,2
2,39,11,2
1,12,65,2
0,12,24,2
0,8,31,1
3,6,51,2
1,22,59,1
0,66,20,2
2,59,9,2
3,21,57,2
2,1,25,1
0,52,2,1
3,66,24,2
3,47,29,1
3,47,8,1
2,65,31,1
2,72,24,1
0,37,41,1
1,20,11,2
3,31,62,1
0,70,46,2
1,73,93,1
3,29,100,1
3,16,63,2
1,46,94,1
1,5,5,1
3,43,93,2
3,41,4,2
3,74,84,2
2,60,41,2
1,70,39,2
2,53,4,1
2,19,89,2
3,13,57,1
2,40,3,2
3,46,79,2
1,29,34,1
1,12,64,2
3,58,60,2
1,10,58,1
3,2,75,2
3,73,19,1
3,14,63,2
2,36,9,1
1,52,35,2
1,44,3,2
0,13,69,2
1,8,48,2
1,58,99,2
0,63,40,1
0,32,99,1
0,39,72,1
0,16,22,1
0,32,25,2
0,5,24,2
3,47,69,2
3,13,55,2
0,27,62,2
3,62,13,2
1,36,25,1
0,11,5,1
1,4,67,2
3,29,13,2
0,45,52,2
1,1,3,2
2,49,87,2
0,76,78,1
3,64,12,1
0,77,14,1
2,29,30,1
0,36,15,2
2,8,7,1
2,19,96,2
2,44,48,1
1,65,60,2
2,54,35,1
1,31,61,2
0,64,95,2
1,54,21,2
1,39,34,1
2,23,11,2
3,58,7,1
1,33,13,2
1,19,8,2
3,72,59,1
3,76,51,2
0,48,2,1
1,4,67,1
0,26,33,1
3,34,4,1
2,77,60,1
2,73,31,2
0,46,32,2
1,57,80,2
0,51,32,2
0,53,40,1
0,14,51,2
0,54,56,1
1,52,15,2
1,50,2,1
1,66,96,2
2,64,38,2
2,68,55,2
1,7,89,1
0,12,19,2
3,72,91,2
2,15,41,1
0,31,97,2
0,67,37,1
3,38,15,1
3,60,37,1
2,31,44,1
0,80,87,2
3,62,85,1
3,48,75,2
3,47,74,2
3,53,41,2
